T_K, tau_Pa
150.0, 6.888634283945089E+13
160.0, 2.528300791857756E+13
170.0, 1.044086868221166E+13
180.0, 4.756871581814049E+12
190.0, 2.3542070918463308E+12
200.0, 1.250016012925976E+12
210.0, 7.049693114675314E+11
220.0, 4.18830270364602E+11
230.0, 2.6035719124679606E+11
240.0, 1.6838631787304228E+11
250.0, 1.1276778369793553E+11
260.0, 7.788561812843454E+10
270.0, 5.5288557344182598E+10
