rho[J/m^3],p[Pa],stability_condition,stable,decay_prob,time[s]
-9.414141e+17,-9.414141e+17,3.377551,False,0.003672,3.678380e+06
-8.919192e+17,-8.919192e+17,3.184292,False,0.005840,5.857021e+06
-8.424242e+17,-8.424242e+17,3.002401,False,0.009283,9.326033e+06
-7.929293e+17,-7.929293e+17,2.830904,False,0.014740,1.484968e+07
-7.434343e+17,-7.434343e+17,2.668934,False,0.023368,2.364489e+07
-6.939394e+17,-6.939394e+17,2.515720,False,0.036949,3.764936e+07
-6.444444e+17,-6.444444e+17,2.370569,False,0.058187,5.994843e+07
-5.949495e+17,-5.949495e+17,2.232862,False,0.091041,9.545485e+07
-5.454545e+17,-5.454545e+17,2.102041,False,0.141004,1.519911e+08
-4.959596e+17,-4.959596e+17,1.977601,False,0.214954,2.420128e+08
-4.464646e+17,-4.464646e+17,1.859086,False,0.319789,3.853529e+08
-3.969697e+17,-3.969697e+17,1.746084,False,0.458597,6.135907e+08
-3.474747e+17,-3.474747e+17,1.638219,False,0.623565,9.770100e+08
-2.979798e+17,-2.979798e+17,1.535147,False,0.788953,1.555676e+09
-2.484848e+17,-2.484848e+17,1.436557,False,0.916012,2.477076e+09
-1.989899e+17,-1.989899e+17,1.342162,False,0.980633,3.944206e+09
-1.494949e+17,-1.494949e+17,1.251701,False,0.998127,6.280291e+09
-1.000000e+17,-1.000000e+17,1.164931,False,0.999955,1.000000e+10
