t,x,y,vx,vy
0.0,0.0,0.0,0,0
0.05,1.0501239285962667,1.0379551885575076,0,0
0.1,2.079454010214002,2.031100862134207,0,0
0.15000000000000002,3.0884019906104383,2.980324308575204,0,0
0.2,4.07737146243056,3.886495246249119,0,0
0.25,5.046758026649525,4.750466171947005,0,0
0.30000000000000004,5.996949450818346,5.57307270189245,0,0
0.35000000000000003,6.928325824176078,6.355133905999219,0,0
0.4,7.841259709690589,7.097452635510145,0,0
0.45,8.736116293088694,7.800815844148284,0,0
0.5,9.613253528935333,8.465994902908946,0,0
0.55,10.473022283820159,9.093745908618349,0,0
0.6000000000000001,11.315766476708871,9.684809986382476,0,0
0.65,12.141823216515355,10.23991358604692,0,0
0.7000000000000001,12.951522936949774,10.759768772786586,0,0
0.75,13.745189528696443,11.245073511941222,0,0
0.8,14.523140468974429,11.696511948210862,0,0
0.8500000000000001,15.285686948532645,12.1147546793228,0,0
0.9,16.033133996130346,12.500459024279696,0,0
0.9500000000000001,16.765780600552667,12.854269286295871,0,0
1.0,17.48391983021012,13.176817010527209,0,0
1.05,18.187838950369898,13.468721236697668,0,0
1.1,18.87781953806577,13.730588746723356,0,0
1.1500000000000001,19.55413759473267,13.963014307433454,0,0
1.2000000000000002,20.217063656610975,14.166580908484846,0,0
1.25,20.86686290296456,14.341859995565763,0,0
1.3,21.50379526215607,14.489411698981662,0,0
1.35,22.12811551562174,14.609785057714873,0,0
1.4000000000000001,22.74007339978732,14.703518239047405,0,0
1.4500000000000002,23.33991370596603,14.771138753835153,0,0
1.5,23.927876378278324,14.813163667519206,0,0
1.55,24.504196609632725,14.830099806958913,0,0
1.6,25.069104935806152,14.822443963169427,0,0
1.6500000000000001,25.62282732766129,14.790683090044709,0,0
1.7000000000000002,26.165585281537936,14.735294499145567,0,0
1.75,26.697595907854513,14.656746050630687,0,0
1.8,27.219072017955114,14.555496340406847,0,0
1.85,27.730222209236896,14.431994883573537,0,0
1.9000000000000001,28.231250948591793,14.28668229423485,0,0
1.9500000000000002,28.72235865419601,14.119990461751065,0,0
2.0,29.203741775679998,13.932342723500177,0,0
2.0500000000000003,29.675592872710865,13.724154034218408,0,0
2.1,30.138100692018856,13.495831131987728,0,0
2.15,30.591450242898546,13.247772700936423,0,0
2.2,31.035822871215043,12.980369530718178,0,0
2.25,31.4713963319447,12.694004672833003,0,0
2.3000000000000003,31.898344860279547,12.389053593853049,0,0
2.35,32.31683924132363,12.065884325614206,0,0
2.4000000000000004,32.727046878409375,11.724857612433752,0,0
2.45,33.12913186006112,11.366327055412896,0,0
2.5,33.52325502563273,10.990639253881895,0,0
2.5500000000000003,33.90957402964549,10.598133944044449,0,0
2.6,34.288243404851976,10.189144134876685,0,0
2.6500000000000004,34.65941462405127,9.76399624133525,0,0
2.7,35.02323616068008,9.32301021492755,0,0
2.75,35.37985354820405,8.866499671696687,0,0
2.8000000000000003,35.72940943833317,8.394772017671997,0,0
2.85,36.072043658084304,7.9081285718356895,0,0
2.9000000000000004,36.40789326571385,7.4068646866542736,0,0
2.95,36.737092605542934,6.891269866223638,0,0
3.0,37.05977336169686,6.361627882074487,0,0
3.0500000000000003,37.37606461078056,5.818216886684681,0,0
3.1,37.68609287351094,5.261309524744092,0,0
3.1500000000000004,37.98998216532685,4.691173042215908,0,0
3.2,38.28785404599694,4.108069393238793,0,0
3.25,38.579827668245144,3.5122553449118783,0,0
3.3000000000000003,38.86601982541341,2.903982580005078,0,0
3.35,39.14654499818053,2.2834977976355617,0,0
3.4000000000000004,39.42151540035602,1.6510428119507168,0,0
3.45,39.691041023767056,1.006854648856958,0,0
3.5,39.95522968225673,0.35116564083332946,0,0
3.5500000000000003,40.214187054811,-0.31579648013249084,0,0
3.6,40.4680167278317,-0.9938084914482488,0,0
3.6500000000000004,40.716820236572474,-1.6826515906252553,0,0
3.7,40.96069710575426,-2.382111307754286,0,0
3.75,41.19974488937644,-3.091977419714894,0,0
3.8000000000000003,41.43405920973982,-3.8120438660833287,0,0
3.85,41.66373379569678,-4.54210866670563,0,0
3.9000000000000004,41.88886052014407,-5.281973840902779,0,0
3.95,42.1095294367732,-6.031445328275922,0,0
4.0,42.32582881609312,-6.790332911079517,0,0
4.05,42.53784518073957,-7.558450138131818,0,0
4.1000000000000005,42.74566334008535,-8.335614250231785,0,0
4.15,42.94936642416513,-9.12164610705301,0,0
4.2,43.149035916928625,-9.91637011548525,0,0
4.25,43.34475168883524,-10.719614159394752,0,0
4.3,43.5365920288033,-11.531209530775655,0,0
4.3500000000000005,43.724633675526725,-12.350990862264354,0,0
4.4,43.908951848171434,-13.178796060990422,0,0
4.45,44.0896202764641,-14.014466243737374,0,0
4.5,44.266711230184995,-14.857845673387189,0,0
4.55,44.44029554807684,-15.708781696623348,0,0
4.6000000000000005,44.61044266618129,-16.567124682867615,0,0
4.65,44.777220645614236,-17.43272796442561,0,0
4.7,44.940696199791184,-18.30544777781796,0,0
4.75,45.100934721113525,-19.18514320627287,0,0
4.800000000000001,45.25800030712632,-20.071676123357648,0,0
4.8500000000000005,45.41195578615821,-20.964911137726105,0,0
4.9,45.56286274245357,-21.86471553896044,0,0
4.95,45.71078154080704,-22.770959244485155,0,0
