t,x,y
0.0,0.0,0.0
0.05,1.0501239286546036,1.0379551886832201
0.1,2.079454010329524,2.0311008623831506
0.15000000000000002,3.088401990782015,2.980324308944941
0.2,4.0773714626570765,3.8864952467372493
0.25,5.046758026929894,4.750466172551183
0.30000000000000004,5.9969494511515045,5.573072702610386
0.35000000000000003,6.928325824560982,6.355133906828665
0.4,7.84125971012621,7.097452636448881
0.45,8.736116293574028,7.800815845194148
0.5,9.613253529469395,8.465994904059816
0.55,10.473022284401987,9.093745909872155
0.6000000000000001,11.315766477337515,9.684809987737166
0.65,12.141823217189891,10.239913587500507
0.7000000000000001,12.951522937669294,10.759768774337111
0.75,13.745189529460056,11.245073513586762
0.8,14.523140469781255,11.696511949949526
0.8500000000000001,15.285686949381837,12.114754681152759
0.9,16.033133997021064,12.500459026199136
0.9500000000000001,16.765780601484085,12.854269288303023
1.0,17.48391983118144,13.176817012620342
1.05,18.187838951380318,13.468721238875068
1.1,18.87781953911452,13.73058874898336
1.1500000000000001,19.554137595818997,13.963014309774426
1.2000000000000002,20.21706365773413,14.166580910905182
1.25,20.866862904123817,14.34185999806389
1.3,21.503795263350717,14.489411701556051
1.35,22.128115516851064,14.609785060363993
1.4000000000000001,22.740073401050644,14.703518241769792
1.4500000000000002,23.33991370726268,14.771138756629353
1.5,23.927876379607635,14.813163670383789
1.55,24.504196610994054,14.830099809892493
1.6,25.069104937198865,14.822443966170638
1.6500000000000001,25.62282732908476,14.790683093112207
1.7000000000000002,26.165585282991557,14.735294502278045
1.75,26.69759590933769,14.656746053826843
1.8,27.219072019467266,14.555496343665446
1.85,27.73022221077744,14.431994886893326
1.9000000000000001,28.23125095016017,14.286682297614618
1.9500000000000002,28.722358655791677,14.119990465189634
2.0,29.203741777302405,13.932342726996369
2.0500000000000003,29.675592874359484,13.724154037771092
2.1,30.138100693693172,13.495831135595777
2.15,30.591450244598054,13.247772704598763
2.2,31.03582287293923,12.98036953443371
2.25,31.47139633369309,12.694004676600677
2.3000000000000003,31.89834486205165,12.389053597671838
2.35,32.316839243118984,12.0658843294831
2.4000000000000004,32.72704688022752,11.72485761635176
2.45,33.129131861901605,11.366327059379033
2.5,33.52325502749511,10.990639257895209
2.5500000000000003,33.909574031529324,10.598133948104008
2.6,34.28824340675685,10.189144138981591
2.6500000000000004,34.659414625976765,9.76399624548459
2.7,35.02323616262578,9.323010219120443
2.75,35.379853550169564,8.866499675932264
2.8000000000000003,35.72940944031811,8.39477202194944
2.85,36.07204366008827,7.908128576154142
2.9000000000000004,36.407893267736476,7.406864691012939
2.95,36.73709260758385,6.891269870621717
3.0,37.059773363755696,6.361627886511182
3.0500000000000003,37.376064612856965,5.818216891159254
3.1,37.686092875604565,5.261309529255764
3.1500000000000004,37.98998216743736,4.691173046763975
3.2,38.287854048124,4.108069397822518
3.25,38.579827670388426,3.5122553495305486
3.3000000000000003,38.866019827572586,2.9039825846580087
3.35,39.146545000355296,2.2834978023220884
3.4000000000000004,39.421515402546056,1.6510428166701638
3.45,39.69104102597207,1.0068546536086798
3.5,39.95522968447642,0.3511656456166725
3.5500000000000003,40.21418705704508,-0.31579647531814026
3.6,40.46801673007988,-0.9938084866035282
3.6500000000000004,40.71682023883448,-1.682651585750735
3.7,40.960697108029805,-2.3821113028505656
3.75,41.19974489166527,-3.091977414782563
3.8000000000000003,41.43405921204167,-3.8120438611229557
3.85,41.663733798011386,-4.5421086617177435
3.9000000000000004,41.888860522471184,-5.28197383588794
3.95,42.10952943911258,-6.031445323234663
4.0,42.325828818444506,-6.790332906012386
4.05,42.53784518310274,-7.558450133039306
4.1000000000000005,42.74566334246006,-8.335614245114382
4.15,42.94936642655116,-9.121646101911217
4.2,43.14903591932575,-9.916370110319546
4.25,43.34475169124323,-10.719614154205642
4.3,43.53659203122196,-11.53120952556357
4.3500000000000005,43.72463367795582,-12.350990857029739
4.4,43.90895185061077,-13.178796055733748
4.45,44.08962027891348,-14.014466238459079
4.5,44.26671123264421,-14.857845668087686
4.55,44.440295550545706,-15.708781691303079
4.6000000000000005,44.61044266865961,-16.56712467752696
4.65,44.77722064810182,-17.432727959064987
4.7,44.94069620228785,-18.305447772437763
4.75,45.10093472361909,-19.1851432008735
4.800000000000001,45.25800030964061,-20.071676117939454
4.8500000000000005,45.41195578868105,-20.964911132289494
4.9,45.56286274498479,-21.86471553350577
4.95,45.710781543346485,-22.770959239012765
5.0,45.855771353257744,-23.683514742042544
