time_year,wind_speed,base_stations,decay_rate
0.0,0.99,1.47760074230199,0.014779129785643986
0.3003003003003003,0.985606204658322,1.4848219784218513,0.014848288571593657
0.6006006006006006,0.9812104712644324,1.49215233608711,0.014921592311210404
0.9009009009009009,0.9768126775570016,1.4995934623593659,0.014996003880116439
1.2012012012012012,0.9724127014729659,1.507147029102917,0.01507153987769455
1.5015015015015014,0.9680104212159647,1.5148147333564945,0.015148217136196358
1.8018018018018018,0.9636057152563411,1.5225982977105206,0.015226052846031695
2.1021021021021022,0.9591984623311411,1.5304994706899606,0.015305064565761368
2.4024024024024024,0.9547885414441146,1.5385200271428578,0.015385269482070228
2.7027027027027026,0.9503758322959996,1.5466617686346233,0.01546668004432442
3.003003003003003,0.9459602177684505,1.5549265238481813,0.015549316954808459
3.3033033033033035,0.9415415768889599,1.5633161489900378,0.01563320749352045
3.6036036036036037,0.937119788437951,1.571832528202369,0.015718371054448895
3.903903903903904,0.9326947321099002,1.5804775739812085,0.01580482538068651
4.2042042042042045,0.9282662885133366,1.5892532276008344,0.015892588609630408
4.504504504504505,0.9238343391708425,1.5981614595444313,0.015981679284332945
4.804804804804805,0.9193987665190531,1.607204269941129,0.0160721163652263
5.105105105105105,0.9149594539086564,1.6163836890094991,0.016163919242245004
5.405405405405405,0.9105162856043936,1.625701777507619,0.01625710774735313
5.7057057057057055,0.9060691467850586,1.6351606271897803,0.016351702167500134
6.006006006006006,0.9016179235434985,1.644762361269951,0.016447723258017202
6.306306306306307,0.8971625028866131,1.6545091348920753,0.016545192256473596
6.606606606606607,0.8927027727353556,1.6644031356073294,0.016644130897012385
6.906906906906907,0.8882386219247315,1.6744465838584097,0.01674456142518521
7.207207207207207,0.8837699402037997,1.684641733470975,0.01684650661330493
7.5075075075075075,0.8792966182356723,1.6949908721523266,0.016949989776341573
7.807807807807808,0.8748185475975137,1.7054963219974528,0.01705503478837627
8.108108108108109,0.8703356207805416,1.7161604400025179,0.01716166609964838
8.408408408408409,0.8658477311900268,1.7269856185859271,0.017269908754207683
8.70870870870871,0.8613547731452927,1.7379742861170495,0.017379788408210146
9.00900900900901,0.8568566418797162,1.7491289074527372,0.01749133134887515
9.30930930930931,0.8523532335407266,1.760451984481728,0.017604564514135817
9.60960960960961,0.8478444451898064,1.7719460566770588,0.017719513287782384
9.90990990990991,0.8433301759356135,1.7836137016565927,0.01783618399600898
10.21021021021021,0.8388103357679599,1.79545753575179,0.017954601924396036
10.51051051051051,0.8342848271855938,1.807480214584823,0.018074816065698572
