time,g_theta_theta,g_phi_phi,volume,curvature
0.0,1.0,0.7499999999999999,0.8660254037844386,2.0
0.005050505050505051,0.98989898989899,0.7424242424242423,0.8572776724330806,1.9603960396039606
0.010101010101010102,0.9797979797979798,0.7348484848484848,0.8485299410817226,1.9223300970873787
0.015151515151515152,0.9696969696969697,0.7272727272727272,0.8397822097303647,1.885714285714286
0.020202020202020204,0.9595959595959596,0.7196969696969696,0.8310344783790067,1.850467289719626
0.025252525252525256,0.9494949494949495,0.712121212121212,0.8222867470276488,1.81651376146789
0.030303030303030304,0.9393939393939394,0.7045454545454545,0.8135390156762908,1.783783783783784
0.03535353535353536,0.9292929292929293,0.6969696969696969,0.8047912843249329,1.752212389380531
0.04040404040404041,0.9191919191919192,0.6893939393939393,0.7960435529735749,1.7217391304347827
0.045454545454545456,0.9090909090909091,0.6818181818181817,0.7872958216222168,1.6923076923076923
0.05050505050505051,0.898989898989899,0.6742424242424241,0.7785480902708589,1.6638655462184875
0.05555555555555556,0.8888888888888888,0.6666666666666665,0.7698003589195009,1.6363636363636362
0.06060606060606061,0.8787878787878788,0.659090909090909,0.761052627568143,1.6097560975609757
0.06565656565656566,0.8686868686868687,0.6515151515151514,0.7523048962167851,1.584
0.07070707070707072,0.8585858585858586,0.6439393939393938,0.7435571648654271,1.5590551181102361
0.07575757575757576,0.8484848484848485,0.6363636363636362,0.7348094335140691,1.5348837209302326
0.08080808080808081,0.8383838383838383,0.6287878787878787,0.726061702162711,1.5114503816793892
0.08585858585858587,0.8282828282828283,0.6212121212121211,0.7173139708113532,1.4887218045112782
0.09090909090909091,0.8181818181818181,0.6136363636363635,0.7085662394599951,1.4666666666666666
0.09595959595959597,0.8080808080808081,0.606060606060606,0.6998185081086372,1.4452554744525548
0.10101010101010102,0.797979797979798,0.5984848484848484,0.6910707767572792,1.4244604316546763
0.10606060606060606,0.7878787878787878,0.5909090909090908,0.6823230454059213,1.4042553191489362
0.11111111111111112,0.7777777777777778,0.5833333333333333,0.6735753140545634,1.3846153846153846
0.11616161616161617,0.7676767676767676,0.5757575757575757,0.6648275827032054,1.3655172413793102
0.12121212121212122,0.7575757575757576,0.5681818181818181,0.6560798513518474,1.346938775510204
0.12626262626262627,0.7474747474747474,0.5606060606060606,0.6473321200004895,1.3288590604026844
0.13131313131313133,0.7373737373737373,0.553030303030303,0.6385843886491315,1.3112582781456954
0.13636363636363638,0.7272727272727273,0.5454545454545454,0.6298366572977735,1.2941176470588236
0.14141414141414144,0.7171717171717171,0.5378787878787877,0.6210889259464155,1.2774193548387096
0.14646464646464646,0.7070707070707071,0.5303030303030303,0.6123411945950576,1.2611464968152866
0.15151515151515152,0.696969696969697,0.5227272727272727,0.6035934632436997,1.2452830188679247
0.15656565656565657,0.6868686868686869,0.515151515151515,0.5948457318923416,1.2298136645962732
0.16161616161616163,0.6767676767676767,0.5075757575757575,0.5860980005409836,1.214723926380368
0.16666666666666669,0.6666666666666666,0.4999999999999999,0.5773502691896257,1.2
0.17171717171717174,0.6565656565656566,0.4924242424242423,0.5686025378382678,1.18562874251497
0.1767676767676768,0.6464646464646464,0.48484848484848475,0.5598548064869098,1.1715976331360947
0.18181818181818182,0.6363636363636364,0.4772727272727272,0.5511070751355518,1.1578947368421053
0.18686868686868688,0.6262626262626263,0.4696969696969696,0.5423593437841939,1.1445086705202312
0.19191919191919193,0.6161616161616161,0.46212121212121204,0.5336116124328358,1.1314285714285715
0.196969696969697,0.606060606060606,0.4545454545454545,0.5248638810814779,1.11864406779661
0.20202020202020204,0.5959595959595959,0.44696969696969685,0.5161161497301199,1.1061452513966479
0.2070707070707071,0.5858585858585859,0.4393939393939393,0.507368418378762,1.0939226519337018
0.21212121212121213,0.5757575757575757,0.43181818181818177,0.498620687027404,1.081967213114754
0.21717171717171718,0.5656565656565656,0.42424242424242414,0.48987295567604605,1.0702702702702702
0.22222222222222224,0.5555555555555556,0.4166666666666666,0.48112522432468807,1.0588235294117647
0.2272727272727273,0.5454545454545454,0.409090909090909,0.4723774929733301,1.0476190476190477
0.23232323232323235,0.5353535353535352,0.40151515151515144,0.4636297616219721,1.0366492146596857
0.2373737373737374,0.5252525252525252,0.3939393939393938,0.45488203027061413,1.0259067357512952
0.24242424242424243,0.5151515151515151,0.3863636363636363,0.4461342989192562,1.0153846153846153
0.2474747474747475,0.505050505050505,0.37878787878787873,0.43738656756789823,1.0050761421319796
0.25252525252525254,0.4949494949494949,0.37121212121212116,0.4286388362165403,0.9949748743718592
0.2575757575757576,0.48484848484848475,0.36363636363636354,0.4198911048651823,0.9850746268656717
0.26262626262626265,0.4747474747474747,0.35606060606060597,0.41114337351382435,0.9753694581280787
0.2676767676767677,0.46464646464646464,0.34848484848484845,0.4023956421624664,0.9658536585365852
0.27272727272727276,0.4545454545454545,0.34090909090909083,0.3936479108111084,0.9565217391304348
0.2777777777777778,0.4444444444444444,0.33333333333333326,0.38490017945975047,0.9473684210526315
0.2828282828282829,0.43434343434343425,0.32575757575757563,0.37615244810839243,0.938388625592417
0.2878787878787879,0.4242424242424242,0.3181818181818181,0.3674047167570345,0.9295774647887325
0.29292929292929293,0.41414141414141414,0.31060606060606055,0.3586569854056766,0.9209302325581395
0.297979797979798,0.404040404040404,0.3030303030303029,0.34990925405431855,0.912442396313364
0.30303030303030304,0.3939393939393939,0.2954545454545454,0.34116152270296063,0.904109589041096
0.3080808080808081,0.38383838383838376,0.2878787878787878,0.33241379135160265,0.8959276018099546
0.31313131313131315,0.3737373737373737,0.2803030303030302,0.32366606000024467,0.8878923766816144
0.31818181818181823,0.36363636363636354,0.2727272727272726,0.31491832864888664,0.8799999999999999
0.32323232323232326,0.3535353535353535,0.2651515151515151,0.30617059729752877,0.8722466960352422
0.3282828282828283,0.3434343434343434,0.2575757575757575,0.2974228659461708,0.8646288209606987
0.33333333333333337,0.33333333333333326,0.2499999999999999,0.28867513459481275,0.8571428571428571
0.3383838383838384,0.3232323232323232,0.24242424242424232,0.27992740324345483,0.8497854077253217
0.3434343434343435,0.31313131313131304,0.23484848484848475,0.27117967189209685,0.8425531914893617
0.3484848484848485,0.303030303030303,0.22727272727272718,0.26243194054073893,0.8354430379746836
0.3535353535353536,0.2929292929292928,0.2196969696969696,0.2536842091893809,0.8284518828451882
0.3585858585858586,0.28282828282828276,0.21212121212121204,0.24493647783802297,0.8215767634854773
0.36363636363636365,0.2727272727272727,0.20454545454545447,0.23618874648666502,0.8148148148148148
0.36868686868686873,0.26262626262626254,0.1969696969696969,0.22744101513530704,0.8081632653061224
0.37373737373737376,0.2525252525252525,0.18939393939393934,0.21869328378394912,0.8016194331983806
0.37878787878787884,0.24242424242424232,0.18181818181818177,0.2099455524325911,0.7951807228915662
0.38383838383838387,0.23232323232323226,0.1742424242424242,0.20119782108123316,0.7888446215139442
0.3888888888888889,0.2222222222222222,0.16666666666666663,0.19245008972987523,0.782608695652174
0.393939393939394,0.21212121212121204,0.15909090909090906,0.18370235837851723,0.776470588235294
0.398989898989899,0.202020202020202,0.1515151515151515,0.1749546270271593,0.7704280155642023
0.4040404040404041,0.19191919191919182,0.1439393939393938,0.16620689567580124,0.7644787644787644
0.4090909090909091,0.18181818181818177,0.13636363636363635,0.15745916432444335,0.7586206896551724
0.4141414141414142,0.1717171717171716,0.12878787878787867,0.1487114329730853,0.752851711026616
0.4191919191919192,0.16161616161616155,0.1212121212121211,0.13996370162172736,0.7471698113207547
0.42424242424242425,0.1515151515151515,0.11363636363636365,0.1312159702703695,0.7415730337078651
0.42929292929292934,0.14141414141414133,0.10606060606060597,0.12246823891901143,0.7360594795539034
0.43434343434343436,0.13131313131313127,0.0984848484848484,0.11372050756765349,0.7306273062730627
0.43939393939393945,0.1212121212121211,0.09090909090909083,0.1049727762162955,0.7252747252747253
0.4444444444444445,0.11111111111111105,0.08333333333333326,0.09622504486493756,0.72
0.44949494949494956,0.10101010101010088,0.07575757575757569,0.08747731351357957,0.7148014440433211
0.4545454545454546,0.09090909090909083,0.06818181818181812,0.07872958216222163,0.7096774193548386
0.4595959595959596,0.08080808080808077,0.06060606060606055,0.06998185081086368,0.704626334519573
0.4646464646464647,0.07070707070707061,0.05303030303030298,0.061234119459505694,0.6996466431095405
0.4696969696969697,0.06060606060606055,0.045454545454545414,0.05248638810814775,0.6947368421052631
0.4747474747474748,0.050505050505050386,0.037878787878787734,0.043738656756789694,0.6898954703832753
0.47979797979797983,0.04040404040404033,0.030303030303030276,0.03499092540543182,0.6851211072664359
0.48484848484848486,0.030303030303030276,0.022727272727272707,0.026243194054073875,0.6804123711340206
0.48989898989898994,0.02020202020202011,0.015151515151515027,0.01749546270271582,0.6757679180887372
0.494949494949495,0.010101010101010055,0.01,0.010050378152592097,0.6711864406779661
0.5,0.01,0.01,0.01,0.6666666666666666
