year,day,H2SO4_mass_ton,H2O_mass_ton,S_mass_ton,O2_mass_ton,water_depth_m,reduction_percentage,reaction_rate_kg_per_s,water_volume_m3
0.0,0,1200000000000.0,10000000.0,0.0,0.0,2.17296827466319e-08,0.0,0,10000000.0
0.0821917808219178,30,-1.6571425633626407e-29,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,462962962,440833817292.00604
0.1643835616438356,60,1.3099345283044408e-33,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.2465753424657534,90,1.729932697249425e-37,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.3287671232876712,120,1.5827181663860935e-37,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.410958904109589,150,1.435503635522762e-37,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.4931506849315068,180,1.2882891046594306e-37,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.5753424657534246,210,1.141074573796099e-37,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.6575342465753424,240,9.938600429327675e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.7397260273972602,270,8.466455120694358e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.821917808219178,300,6.994309812061044e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.9041095890410958,330,5.52216450342773e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
0.9863013698630136,360,4.0500191947944143e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.0684931506849316,390,2.5778738861610994e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.1506849315068493,420,1.1057285775277844e-38,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.2328767123287672,450,2.402788271565204e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.3150684931506849,480,2.1994742501039648e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.3972602739726028,510,1.9961602286427262e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.4794520547945205,540,1.7928462071814872e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.5616438356164384,570,1.589532185720248e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.643835616438356,600,1.3862181642590093e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.726027397260274,630,1.1829041427977703e-42,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.8082191780821917,660,9.795901213365315e-43,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.8904109589041096,690,7.762760998752925e-43,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
1.9726027397260273,720,5.7296207841405355e-43,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
