time,k=1.0e-8_remaining,k=1.0e-8_converted,k=1.0e-7_remaining,k=1.0e-7_converted,k=9.999999999999999e-7_remaining,k=9.999999999999999e-7_converted,
0.0,1.0e+10,0.0e+0,1.0e+10,0.0e+0,1.0e+10,0.0e+0
100000.0,9.99000499833375e+9,9.995001666250228e+6,9.90049833749168e+9,9.950166250831985e+7,9.048374180359596e+9,9.516258196404037e+8
200000.0,9.98001998667333e+9,1.9980013326669693e+7,9.801986733067553e+9,1.9801326693244745e+8,8.187307530779818e+9,1.8126924692201812e+9
300000.0,9.970044955033729e+9,2.995504496627045e+7,9.70445533548508e+9,2.955446645149193e+8,7.408182206817179e+9,2.591817793182821e+9
400000.0,9.960079893439915e+9,3.9920106560085294e+7,9.607894391523232e+9,3.921056084767685e+8,6.703200460356393e+9,3.2967995396436073e+9
500000.0,9.950124791926823e+9,4.9875208073177335e+7,9.512294245007139e+9,4.877057549928608e+8,6.065306597126334e+9,3.934693402873666e+9
600000.0,9.940179640539353e+9,5.982035946064758e+7,9.417645335842488e+9,5.823546641575126e+8,5.488116360940263e+9,4.511883639059736e+9
700000.0,9.930244429332352e+9,6.975557066764831e+7,9.323938199059483e+9,6.760618009405175e+8,4.9658530379140947e+9,5.034146962085905e+9
800000.0,9.920319148370607e+9,7.968085162939262e+7,9.231163463866358e+9,7.688365361336422e+8,4.493289641172217e+9,5.506710358827784e+9
900000.0,9.910403787728836e+9,8.959621227116394e+7,9.139311852712282e+9,8.606881472877178e+8,4.0656965974059917e+9,5.934303402594009e+9
