t,A_analytical,B_analytical,A_numerical,B_numerical,error_A,error_B
0.0,100.0,50.0,100.0,50.0,0.0,0.0
0.40080160320641284,101.84841210728227,50.20853855803063,101.82140118451919,50.20363469482947,0.02701092276308259,0.004903863201164427
0.8016032064128257,103.69682421456456,50.41707711606126,103.6788342732221,50.41381236785499,0.017989941342463567,0.003264748206269985
1.2024048096192386,105.59197259447538,50.6340868034168,105.57300165156659,50.63065233312343,0.018970942908794086,0.0034344702933708504
1.6032064128256514,107.53293177626963,50.859399874962115,107.50461972533952,50.85427631414028,0.028312050930111354,0.005123560821836293
2.0040080160320644,109.47486211945535,51.084888457002144,109.47441902446774,51.08480846167497,0.00044309498761663235,7.99953271766185e-05
2.404809619238477,111.5129374403942,51.32775257801925,111.48314428619076,51.322375368027636,0.029793154203431982,0.005377209991614507
2.80561122244489,113.55101276133306,51.57061669903636,113.53155474493494,51.56710611675404,0.019458016398118616,0.003510582282316932
3.2064128256513027,115.64157240486783,51.82293953635498,115.62042410127127,51.819132277339946,0.02114830359656139,0.0038072590150335373
3.6072144288577155,117.78155903181818,52.08417009679251,117.75054155300002,52.07858808205774,0.031017478818156974,0.005582014734770269
4.008016032064129,119.92368453395912,52.34578510926605,119.92271190659858,52.345610445082755,0.0009726273605394908,0.00017466418329803446
4.408817635270541,122.17061492043946,52.6262382715037,122.13775559147231,52.62033896493788,0.032859328967148826,0.005899306565822826
4.809619238476954,124.4175453069198,52.90669143374135,124.39650908859883,52.90291599802337,0.021036218320972466,0.003775435717983555
5.210420841683367,126.72339394303707,53.1977084097203,126.69982475756738,53.19348662894936,0.023569185469682452,0.0042217807709405974
5.61122244488978,129.08254956692107,53.49828312194137,129.04857186285133,53.492198846571,0.03397770406974132,0.006084275370369596
6.012024048096192,131.44523823254485,53.79948979607161,131.4436369729408,53.79920361245271,0.0016012596040582139,0.00028618361890409005
6.412825651302605,133.92216191442193,54.12112990526482,133.88592396184865,54.11465486112652,0.03623795257328766,0.0064750441383054635
6.813627254509019,136.39908559629905,54.44277001445804,136.37635428901822,54.43870954810825,0.02273130728082151,0.004060466349791625
7.214428857715431,138.94212733291266,54.7762102764253,138.91586714004822,54.77152767404091,0.02626019286444148,0.004682602384391998
7.615230460921844,141.54263616383002,55.11990674594383,141.50541994446704,55.11327237350763,0.03721621936298902,0.006634372436202796
8.016032064128257,144.14833259785993,55.46452708615562,144.14598929807718,55.464110073247475,0.0023432997827512736,0.0004170129081444429
8.41683366733467,146.87853150659117,55.831320323005734,146.83857097602097,55.8242104943967,0.039960530570198216,0.007109828609031865
8.817635270541082,149.60873041532244,56.19811355985585,149.58418006681177,56.193746675481165,0.024550348510672393,0.004366884374682911
9.218436873747494,152.4131022341504,56.57808983464413,152.38385140230082,56.572895046177784,0.02925083184956634,0.005194788466347688
9.619238476953909,155.27939822562786,56.969072131931256,155.23863959357794,56.96183543347024,0.04075863204991492,0.007236698461014157
10.02004008016032,158.15283527243704,57.361321219365465,158.14962036813475,57.360751291025565,0.0032149043022968726,0.0005699283398996613
10.420841683366733,161.16195237054913,57.777639319594186,161.11789070461518,57.76982972230953,0.044061665933952554,0.007809597284655467
10.821643286573147,164.17106946866122,58.193957419822915,164.14456886998292,58.18926148696265,0.026500598678296683,0.004695932860265373
11.22244488977956,167.26336876324785,58.6250050452142,167.23079499024183,58.619241098707725,0.032573773006021156,0.005763946506476714
11.623246492985972,170.42236369284564,59.067862830420516,170.3777308525176,59.05996679139814,0.04463284032803472,0.00789603902237701
12.024048096192384,173.59079564534844,59.51238882741383,173.5865613440476,59.51164076586554,0.0042343013008405705,0.0007480615482862163
12.424849699398798,176.90707429002967,59.98305014240358,176.85849489131337,59.974469265250946,0.04857939871629924,0.008580877152631672
12.82565130260521,180.2233529347109,60.45371145739332,180.19476346671493,60.44866257614958,0.028589467995971063,0.005048881243737924
13.226452905811623,183.63288823598387,60.94083139204592,183.59662305224052,60.93443510815455,0.03626518374335319,0.006396283891369592
13.627254509018037,187.114222910031,61.44062300732392,187.06535368096144,61.43200540097795,0.0488692290695667,0.008617606345971751
14.02805611222445,190.60768248712716,61.94255124002345,190.60226044819566,61.941596297909655,0.0054220389314991735,0.0009549421137933223
14.428857715430862,194.26223006187442,62.47286596132332,194.2086745123419,62.463435117508084,0.0535555495325184,0.009430843815238177
14.829659318637274,197.9167776366217,63.003180682623196,197.88595309854784,62.99775365422963,0.03082453807385832,0.005427028393562239
15.230460921843688,201.67584488885558,63.55188689988403,201.63547979097586,63.54478822856786,0.04036509787971454,0.00709867131617159
15.6312625250501,205.51216581575346,64.1141868315508,205.45866493336334,64.1047797557739,0.05350088239012507,0.009407075776891816
16.032064128256515,209.36374733047833,64.67916836627111,209.35694606788365,64.67797382113987,0.006801262594677837,0.001194545131241398
16.432865731462925,213.39082560521345,65.27498833610716,213.3317895148297,65.26462095099365,0.059036090383756346,0.010367385113511318
16.83366733466934,217.4179038799486,65.87080830594321,217.38469044786828,65.86497662560897,0.03321343208031635,0.005831680334239309
17.234468937875754,221.56209087078457,66.48718001825873,221.51717304641716,66.47930130534645,0.04491782436741687,0.007878712912273045
17.635270541082164,225.7893549850083,67.11813117182034,225.73079117117803,67.10786054654737,0.058563813830261324,0.010270625272966072
18.03607214428858,230.03552637260884,67.75239634310685,230.02712834811078,67.75092499878251,0.008398024498063705,0.001471344324343704
18.43687374749499,234.47287130213044,68.42016991583382,234.4077997522488,68.40877074517998,0.06507154988165098,0.011399170653845658
18.837675350701403,238.91021623165207,69.0879434885608,238.8744524881581,69.08167935053898,0.035763743493959055,0.006264138021819576
19.238476953907817,243.478738045135,69.77868269472035,243.42876564612055,69.7699378709684,0.049972399014450275,0.008744823751939634
19.639278557114228,248.13654832585206,70.48505397069532,248.07245111045438,70.47383899256168,0.06409721539768043,0.011214978133637032
20.04008016032064,252.817494973035,71.1954713657298,252.80725334383507,71.1936809943961,0.010241629199924773,0.001790371333697749
20.440881763527056,257.7066689184106,71.94230383229984,257.6349514606184,71.92976810421945,0.07171745779220373,0.012535728080393937
20.841683366733466,262.59584286378623,72.68913629886988,262.55735989783204,72.68241061356235,0.038482965954187875,0.006725685307529261
21.24248496993988,267.63191151772656,73.46163119647422,267.57632843364706,73.45192488090727,0.05558308407950108,0.009706315566944568
21.643286573146295,272.76388663428355,74.25088090442325,272.69374290751495,74.23863345523523,0.07014372676860603,0.012247449188024007
22.044088176352705,277.92389025063,75.04502235983632,277.91152523147014,75.04286507796704,0.012365019159858548,0.0021572818692874307
22.44488977955912,283.3106699107277,75.87874249927674,283.231635078057,75.8649549725358,0.07903483267068623,0.013787526740941303
22.845691382765533,288.69744957082537,76.71246263871714,288.6560711837251,76.70524506799389,0.041378387100280634,0.007217570723256017
23.246492985971944,294.2486813219285,77.57485749953425,294.18687135705375,77.56408400042406,0.06180996487472612,0.010773499110186435
23.647294589178358,299.90286275601864,78.4552032021888,299.8261130300266,78.44182720751665,0.07674972599204466,0.013375994672145453
24.04809619238477,305.59071885885396,79.34141542601358,305.57591365412435,79.33883699652613,0.014805204729611887,0.0025784294874569014
24.448897795591183,311.5255225324871,80.27064880508675,311.43843181580684,80.25548273563867,0.08709071668027946,0.015166069448085295
24.849699398797597,317.4603262061202,81.19988218415993,317.4158692428168,81.19214119817119,0.04445696330338933,0.007740985988746729
25.250501002004007,323.57919036128715,82.16115435093215,323.51047085375274,82.14919657107606,0.0687195075344107,0.0119577798560897
25.65130260521042,329.8084908053744,83.14164979032384,329.7245251622745,83.1270405242877,0.08396564309987298,0.014609266036146096
26.052104208416836,336.07796875333867,84.12913328427011,336.0603650098505,84.12607233643625,0.0176037434881664,0.003060947833859018
26.452905811623246,342.6163269195569,85.16338298946641,342.5203681575087,85.14669899636644,0.09595876204821252,0.01668399309997426
26.85370741482966,349.15468508577527,86.19763269466272,349.10695991674953,86.18933565449714,0.04772516902573898,0.008297040165572866
27.254509018036075,355.89899854910703,87.26767742503627,355.8226133363846,87.2544056548757,0.07638521272241405,0.01327177016057135
27.655310621242485,362.76169576589774,88.35829724862191,362.6698494678082,88.34234058068881,0.0918462980895356,0.01595666793309647
28.0561122244489,369.6720456775052,89.45719327465841,369.6512384031656,89.45358043237604,0.020807274339574633,0.0036128422823651363
28.45691382765531,376.875119285844,90.60692883003586,376.7693994118443,90.58857365104483,0.1057198739997034,0.018355178991029675
28.857715430861724,384.07819289418285,91.75666438541332,384.02700407563526,91.74777765634315,0.051188818547586834,0.008886729070169963
29.258517034068138,391.5116651102051,92.94638834260641,391.42677672528225,92.93165892135492,0.08488838492286277,0.014729421251487906
29.65931863727455,399.0719458622391,94.15812142017865,398.9714945974011,94.14069299952163,0.10045126483800004,0.01742842065701211
30.060120240480963,406.68845719763243,95.37960783123201,406.66398908523615,95.37536473922906,0.024468112396277775,0.004243092002951698
30.460921843687377,414.6236085053947,96.65636313201162,414.50714558993826,96.63616825829163,0.11646291545645227,0.020194873719987072
30.861723446893787,422.5587598131569,97.93311843279123,422.5039069572644,97.92360753356095,0.05485285589247724,0.009510899230278369
31.2625250501002,430.75159324168084,99.25454270409737,430.65727430436306,99.23819654277202,0.09431893731778018,0.01634616132535882
