time_days,remaining_mass_kg,converted_mass_kg,conversion_efficiency_%,rate_constant
0.0,10000000000.0,0.0,0.0,1e-08
0.11585659733807882,9998999049.097477,1000950.9025230408,0.10518324344134271,1e-08
0.23171319467615764,9997998198.385225,2001801.614774704,0.2103559585563927,1e-08
0.34756979201423643,9996997447.853216,3002552.1467838287,0.31551814639901365,1e-08
0.4634263893523153,9995996797.491423,4003202.508577347,0.42066980802286885,1e-08
0.5792829866903941,9994996247.289816,5003752.710184097,0.525810944481822,1e-08
0.6951395840284729,9993995797.238373,6004202.761627197,0.6309415568291356,1e-08
0.8109961813665517,9992995447.327068,7004552.672931671,0.7360616461182723,1e-08
0.9268527787046306,9991995197.545877,8004802.454122543,0.8411712134026951,1e-08
1.0427093760427093,9990995047.884779,9004952.115221024,0.9462702597354661,1e-08
1.1585659733807883,9989994998.333752,10005001.666248322,1.051358786169647,1e-08
1.274422570718867,9988995048.882774,11004951.117225647,1.1564367937582996,1e-08
1.3902791680569457,9987995199.521826,12004800.47817421,1.2615042835544865,1e-08
1.5061357653950247,9986995450.240892,13004549.75910759,1.3665612566104677,1e-08
1.6219923627331034,9985995801.029951,14004198.970048904,1.4716077139795054,1e-08
1.7378489600711822,9984996251.878988,15003748.121011734,1.5766436567138602,1e-08
1.8537055574092611,9983996802.777988,16003197.222011566,1.6816690858659924,1e-08
1.9695621547473399,9982997453.716936,17002546.28306389,1.7866840024883628,1e-08
2.0854187520854186,9981998204.685818,18001795.31418228,1.891688407633232,1e-08
2.2012753494234976,9980999055.674623,19000944.32537651,1.996682302352459,1e-08
2.3171319467615765,9980000006.673338,19999993.326662064,2.101665687698505,1e-08
2.432988544099655,9979001057.671953,20998942.3280468,2.206638564723028,1e-08
2.548845141437734,9978002208.660458,21997791.33954239,2.3116009344780886,1e-08
2.664701738775813,9977003459.628843,22996540.371156693,2.416552798015346,1e-08
2.7805583361138915,9976004810.567104,23995189.43289566,2.521494156386258,1e-08
2.8964149334519704,9975006261.465235,24993738.534765244,2.6264250106422837,1e-08
3.0122715307900494,9974007812.313227,25992187.6867733,2.7313453618350816,1e-08
3.1281281281281283,9973009463.101076,26990536.898923874,2.8362552110159105,1e-08
3.243984725466207,9972011213.81878,27988786.1812191,2.941154559235827,1e-08
3.3598413228042854,9971013064.456337,28986935.543663025,3.0460434075460903,1e-08
3.4756979201423643,9970015015.003744,29984984.996255875,3.1509217569975574,1e-08
3.5915545174804437,9969017065.451002,30982934.54899788,3.2557896086410847,1e-08
3.7074111148185223,9968019215.78811,31980784.211889267,3.3606469635275307,1e-08
3.8232677121566008,9967021466.00507,32978533.994930267,3.465493822707751,1e-08
3.9391243094946797,9966023816.091883,33976183.908117294,3.570330187232204,1e-08
4.054980906832759,9965026266.038555,34973733.961444855,3.6751560581511447,1e-08
4.170837504170837,9964028815.83509,35971184.16490936,3.779971436515029,1e-08
4.286694101508916,9963031465.471493,36968534.52850723,3.8847763233743144,1e-08
4.402550698846995,9962034214.93777,37965785.06222916,3.9895707197788544,1e-08
4.5184072961850745,9961037064.22393,38962935.77606964,4.094354626778907,1e-08
4.634263893523153,9960040013.319983,39959986.68001747,4.199128045424125,1e-08
4.750120490861232,9959043062.215933,40956937.784067154,4.303890976764765,1e-08
4.86597708819931,9958046210.901793,41953789.098207474,4.408643421850482,1e-08
4.9818336855373895,9957049459.367577,42950540.6324234,4.513385381730529,1e-08
5.097690282875468,9956052807.603296,43947192.39670372,4.618116857454562,1e-08
5.2135468802135465,9955056255.598963,44943744.401037216,4.722837850072235,1e-08
5.329403477551626,9954059803.344593,45940196.65540695,4.8275483606326,1e-08
5.445260074889704,9953063450.8302,46936549.169799805,4.932248390185114,1e-08
5.561116672227783,9952067198.045803,47932801.95419693,5.036937939778628,1e-08
5.6769732695658615,9951071044.981419,48928955.01858139,5.141617010462196,1e-08
5.792829866903941,9950074991.627066,49925008.37293434,5.24628560328467,1e-08
5.90868646424202,9949079037.972761,50920962.027238846,5.350943719295104,1e-08
6.024543061580099,9948083184.008528,51916815.991472244,5.455591359541951,1e-08
6.140399658918177,9947087429.724388,52912570.27561188,5.560228525073662,1e-08
6.256256256256257,9946091775.110363,53908224.88963699,5.66485521693889,1e-08
6.372112853594335,9945096220.156477,54903779.843523026,5.769471436185887,1e-08
6.487969450932414,9944100764.852753,55899235.147247314,5.874077183863103,1e-08
6.603826048270492,9943105409.189217,56894590.810783386,5.978672461018592,1e-08
6.719682645608571,9942110153.155897,57889846.84410286,6.083257268700202,1e-08
6.83553924294665,9941114996.742819,58885003.25718117,6.187831607956188,1e-08
6.951395840284729,9940119939.940012,59880060.05998802,6.292395479834198,1e-08
7.067252437622807,9939124982.737507,60875017.26249313,6.3969488853818826,1e-08
7.1831090349608875,9938130125.12533,61869874.87467003,6.501491825647293,1e-08
7.298965632298966,9937135367.093517,62864632.9064827,6.606024301677479,1e-08
7.4148222296370445,9936140708.6321,63859291.36790085,6.710546314520091,1e-08
7.530678826975123,9935146149.73111,64853850.26889038,6.815057865222378,1e-08
7.6465354243132015,9934151690.380583,65848309.61941719,6.919558954831588,1e-08
7.762392021651281,9933157330.570555,66842669.42944527,7.024049584394773,1e-08
7.8782486189893595,9932163070.291063,67836929.70893669,7.12852975495878,1e-08
7.994105216327438,9931168909.53214,68831090.46785927,7.23299946757106,1e-08
8.109961813665517,9930174848.28383,69825151.71616936,7.337458723277858,1e-08
8.225818411003596,9929180886.536173,70819113.46382713,7.441907523125824,1e-08
8.341675008341674,9928187024.279203,71812975.72079659,7.546345868162008,1e-08
8.457531605679753,9927193261.502966,72806738.49703407,7.650773759432654,1e-08
8.573388203017831,9926199598.197504,73800401.80249596,7.755191197984013,1e-08
8.689244800355912,9925206034.352861,74793965.6471386,7.859598184862331,1e-08
8.80510139769399,9924212569.959082,75787430.04091835,7.963994721113854,1e-08
8.920957995032069,9923219205.006208,76780794.99379158,8.06838080778483,1e-08
9.036814592370149,9922225939.484291,77774060.51570892,8.172756445920907,1e-08
9.152671189708228,9921232773.383375,78767226.61662483,8.27712163656813,1e-08
9.268527787046306,9920239706.693508,79760293.30649185,8.381476380772348,1e-08
9.384384384384385,9919246739.404743,80753260.5952568,8.4858206795788,1e-08
9.500240981722463,9918253871.50713,81746128.49287033,8.59015453403314,1e-08
9.616097579060542,9917261102.990715,82738897.00928497,8.694477945181209,1e-08
9.73195417639862,9916268433.845556,83731566.15444374,8.798790914067853,1e-08
9.847810773736699,9915275864.061705,84724135.93829536,8.903093441738518,1e-08
9.963667371074779,9914283393.629217,85716606.37078285,9.007385529238046,1e-08
10.079523968412857,9913291022.538145,86708977.46185493,9.111667177611887,1e-08
10.195380565750936,9912298750.778547,87701249.22145271,9.215938387904682,1e-08
10.311237163089015,9911306578.34048,88693421.6595192,9.320199161161275,1e-08
10.427093760427093,9910314505.214005,89685494.78599548,9.424449498426311,1e-08
10.542950357765173,9909322531.389177,90677468.61082268,9.528689400744433,1e-08
10.658806955103252,9908330656.85606,91669343.14393997,9.632918869160086,1e-08
10.77466355244133,9907338881.604712,92661118.39528847,9.737137904717914,1e-08
10.890520149779409,9906347205.625198,93652794.37480164,9.841346508461758,1e-08
11.006376747117487,9905355628.907581,94644371.09241867,9.94554468143606,1e-08
11.122233344455566,9904364151.441925,95635848.55807495,10.049732424684864,1e-08
11.238089941793644,9903372773.218296,96627226.78170395,10.153909739252013,1e-08
11.353946539131723,9902381494.226759,97618505.77324104,10.258076626181548,1e-08
11.469803136469803,9901390314.45738,98609685.5426197,10.362233086517316,1e-08
11.585659733807882,9900399233.900234,99600766.09976578,10.466379121302351,1e-08
11.70151633114596,9899408252.545382,100591747.45461845,10.570514731581099,1e-08
11.81737292848404,9898417370.3829,101582629.61709976,10.674639918396199,1e-08
11.933229525822119,9897426587.402857,102573412.59714317,10.778754682791496,1e-08
12.049086123160198,9896435903.595327,103564096.40467262,10.882859025809825,1e-08
12.164942720498276,9895445318.95038,104554681.04961967,10.986952948494833,1e-08
12.280799317836355,9894454833.458094,105545166.54190636,11.091036451889156,1e-08
12.396655915174433,9893464447.108541,106535552.89145851,11.195109537035837,1e-08
12.512512512512513,9892474159.891802,107525840.10819817,11.299172204977515,1e-08
