alpha,A(50),A(100),A(200)
0.01,125.0,150.0,200.0
0.03,370.3622194722435,1436.7362494341606,22026.590862263934
0.05,1057.0194230579824,11778.14246971299,1472118.8748856513
0.07,2961.2403062471646,91933.93952763229,88790216.46996975
0.09,8212.423317888099,702625.317739461,5146363468.275
