t,A_numerical,B_numerical
0.0,100.0,50.0
0.2002002002002002,100.90532392427343,50.10090411561931
0.4004004004004004,101.81955105099071,50.20342596888067
0.6006006006006006,102.74276768169243,50.30758021733067
0.8008008008008008,103.67506089544821,50.41338165216987
1.001001001001001,104.61651865003618,50.520845215607
1.2012012012012012,105.56722978246924,50.62998600094917
1.4014014014014016,106.527284008995,50.74081925260189
1.6016016016016017,107.49677192509589,50.85336036606906
1.8018018018018018,108.47578500548903,50.96762488795299
2.002002002002002,109.46441560412636,51.083628515954345
2.2022022022022023,110.46275695419602,51.20138709887249
2.4024024024024024,111.47090324865125,51.32091665041856
2.6026026026026026,112.48894953735552,51.44223333157341
2.802802802802803,113.51699172924435,51.565353450957865
3.0030030030030033,114.55512670490114,51.690293484142536
3.2032032032032034,115.60345231655727,51.81707007364783
3.4034034034034035,116.66206738809204,51.94570002894396
3.6036036036036037,117.7310717150327,52.076200326450945
3.8038038038038042,118.81056606455444,52.20858810953858
4.004004004004004,119.90065217548033,52.34288068852649
4.2042042042042045,121.00143275828147,52.47909554068406
4.404404404404405,122.11301150604264,52.61725031211153
4.604604604604605,123.23549319962515,52.75736283577949
4.804804804804805,124.36898350299693,52.899451096420876
5.005005005005005,125.51358910427622,53.04353325472426
5.205205205205205,126.669417768765,53.18962765643083
5.405405405405406,127.8365783389489,53.337752832334424
5.605605605605606,129.0151807344972,53.48792749828151
5.805805805805806,130.20533595226289,53.640170555171196
6.0060060060060065,131.40715606628265,53.79450108895523
6.206206206206207,132.62075422777684,53.95093837063798
6.406406406406407,133.8462446651494,54.10950185627647
6.606606606606607,135.0837427309572,54.27021119503746
6.806806806806807,136.33336493946453,54.43308623564014
7.007007007007007,137.59522878812916,54.59814699573352
7.207207207207207,138.8694529548412,54.76541369573023
7.407407407407407,140.1561573114138,54.93490676112068
7.6076076076076085,141.4554629235831,55.10664682247307
7.807807807807809,142.7674920510082,55.280654715433386
8.008008008008009,144.09236814727132,55.456951480725415
8.208208208208209,145.43021585987756,55.63555836415074
8.408408408408409,146.78116103025513,55.8164968165887
8.608608608608609,148.14533069392988,55.99978849402643
8.80880880880881,149.52285319938562,56.18545527794868
9.00900900900901,150.91385805600632,56.37351924925378
9.20920920920921,152.3184759554002,56.564002691910964
9.40940940940941,153.73683891207037,56.756928117091235
9.60960960960961,155.16908026341468,56.9523182631674
9.80980980980981,156.61533466972594,57.15019609571405
10.01001001001001,158.07573811419172,57.350584807507595
10.21021021021021,159.55042790289446,57.55350781852621
10.41041041041041,161.0395426648114,57.75898877594987
10.61061061061061,162.5432223518147,57.96705155416035
10.810810810810812,164.06160826387438,58.17772025906474
11.011011011011012,165.5948431693618,58.391019248733535
