t,linear_v,exp_v,logistic_v,linear_n,exp_n,logistic_n
0.0,0.99,0.99,0.99,1.0,1.0,1.47760074230199
3.0,0.8439598675182921,0.1510132920873756,0.9460043843306478,9.64,121.34830836875005,1.5548432613062912
6.0,0.5551869718918966,0.0008060409454114154,0.9017069777867296,18.28,224.93305733099575,1.6445689124349063
9.0,0.2818302515897584,0.00000024023907790082867,0.8569916745392371,26.919999999999998,314.08927699878785,1.7487918303724261
12.0,0.11039942804563901,0.000000000005982388330881471,0.8117511856398605,35.56,390.8267464147612,1.86984998855399
15.0,0.033371591366064435,0.000000000000000017620897770239392,0.7658925318739997,44.2,456.8752984317633,2.0104568690079647
18.0,0.00778427016471914,0.000000000000000000000008286473776655707,0.7193439760322206,52.839999999999996,513.7238139841223,2.17376123717062
21.0,0.0014011666555680915,0.0000000000000000000000000000008058241384710549,0.672063530650517,61.480000000000004,562.6537847679618,2.3634162441889357
24.0,0.0001946223130815235,0.000000000000000000000000000000000000020250469132742095,0.624049082135898,70.12,604.7682009078575,2.5836592463137826
27.0,0.000020860583875362294,0.00000000000000000000000000000000000000000000015931804902438645,0.5753500075928288,78.75999999999999,641.0164148019497,2.8394039145930594
30.0,0.0000017254062147774131,0.0000000000000000000000000000000000000000000000000000004627591646805381,0.5260799041711136,87.4,672.2155416317567,3.136346407332445
33.0,0.00000011012538206277663,0.00000000000000000000000000000000000000000000000000000000000000057177074232575895,0.47642968217661874,96.04,699.0688789516685,3.4810875905251435
36.0,0.000000005423939187080205,0.0000000000000000000000000000000000000000000000000000000000000000000000003393570968142672,0.4266797827664041,104.67999999999999,722.1817605765492,3.8812735136051293
39.0,0.00000000020614542230591927,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000010738298206806992,0.3772096829760956,113.32000000000001,742.0752021492523,4.345756572739768
42.0,0.000000000006045946792337376,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001980939054951407,0.3285022026777811,121.96000000000001,759.1976459894237,4.884780011053179
45.0,0.00000000000013683178591325186,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023000140817604644,0.2811395545475756,130.6,773.9350699785492,5.510188599234455
48.0,0.0000000000000023896929506336622,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017948330121857223,0.2357877927575882,139.24,786.6196883579477,6.235668488728671
51.0,0.000000000000000032205505093290197,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000995835309579103,0.19316662691495673,147.88000000000002,797.5374405750036,7.0770193019158185
54.0,0.0000000000000000003349281169156116,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004122565203735495,0.15400284342341164,156.51999999999998,806.9344369928563,8.052461476330144
57.0,0.0000000000000000000026878638972905987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013271613845651147,0.11896814268036543,165.16,815.0225067641395,9.182981654801436
60.0,0.00000000000000000000001664554195874237,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003442379836721452,0.08860614326485955,173.8,821.9839729301656,10.492718432832508
63.0,0.00000000000000000000000007954714221771947,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007416280915874819,0.06325819241871883,182.44,827.9757623868772,12.009389936992418
66.0,0.0000000000000000000000000002933515222932067,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013622118755020268,0.04300224376648082,191.08,833.1329433653286,13.764763382987919
69.0,0.0000000000000000000000000000008348156221003633,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002181559894600511,0.027621384172624837,199.72,837.5717701693493,15.795164784788765
72.0,0.0000000000000000000000000000000018332968437931498,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000310534869509837,0.016616226537832884,208.35999999999999,841.3923038055392,18.14202415424296
75.0,0.000000000000000000000000000000000003106825018344659,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000039943992576215815,0.009266773492779462,217.0,844.6806675804081,20.85244760226213
78.0,0.000000000000000000000000000000000000004062979314060306,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004709295397629813,0.004735398261074864,225.64000000000001,847.5109885108251,23.979802450412098
81.0,0.0000000000000000000000000000000000000000041003276368677536,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005151354237345365,0.002187760040506894,234.28000000000003,849.9470683114777,27.584294484575878
84.0,0.0000000000000000000000000000000000000000000031933113787168427,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052832459461192394,0.0008999316895614772,242.92000000000002,852.0438216271073,31.733507531557645
87.0,0.0000000000000000000000000000000000000000000000019191799647213094,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000512634402401635,0.0003238966052180949,251.55999999999997,853.8485139304654,36.50286436520176
90.0,0.0000000000000000000000000000000000000000000000000008901131010874222,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004742493539625665,0.00009999422927473737,260.2,855.4018269909586,41.9759544254177
93.0,0.0000000000000000000000000000000000000000000000000000003185909837205419,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042110542726868693,0.000025891474392847576,268.84,856.7387759320104,48.24465807457281
96.0,0.00000000000000000000000000000000000000000000000000000000008800041814240807,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003609506935435043,0.000005482052098045909,277.48,857.8894985496468,55.40897963324496
