year,day,H2SO4_mass_ton,H2O_mass_ton,S_mass_ton,O2_mass_ton,water_depth_m,reduction_percentage,reaction_rate_kg_per_s,water_volume_m3
0.0,0,1200000000000.0,10000000.0,0.0,0.0,2.17296827466319e-08,0.0,0,10000000.0
9.945205479452055,3630,4.903220342137003e-48,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
19.972602739726028,7290,2.0367362808371728e-53,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
29.91780821917808,10920,1.0463696218649098e-58,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
39.945205479452056,14580,9.314523250095114e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
49.97260273972603,18240,8.165350281541128e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
59.917808219178085,21870,7.025596763549064e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
69.94520547945206,25530,5.876423794995079e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
79.97260273972603,29190,4.727250826441094e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
89.91780821917808,32820,3.587497308449027e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
99.94520547945206,36480,2.4383243398950422e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
109.89041095890411,40110,1.2985708219029756e-59,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
119.91780821917808,43770,1.4939785334899105e-60,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
129.94520547945206,47430,-5.0715326028595034e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
139.8904109589041,51060,-4.513954824090956e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
149.91780821917808,54720,-3.951768964506141e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
159.94520547945206,58380,-3.389583104921326e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
169.8904109589041,62010,-2.8320053261527787e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
179.91780821917808,65670,-2.269819466567963e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
189.94520547945206,69330,-1.7076336069831474e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
199.8904109589041,72960,-1.1500558282146008e-64,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
209.91780821917808,76620,-5.878699686297852e-65,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
219.86301369863014,80250,-3.029218986123845e-66,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
229.8904109589041,83910,-8.212070877694073e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
239.91780821917808,87570,-8.12824535432696e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
249.86301369863014,91200,-8.045106925413673e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
259.8904109589041,94860,-7.961281402046559e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
269.9178082191781,98520,-7.877455878679444e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
279.86301369863014,102150,-7.79431744976616e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
289.8904109589041,105810,-7.710491926399046e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
299.9178082191781,109470,-7.626666403031931e-71,440833817292.00604,392251223491.0275,783034257748.7769,0.0009579178993741982,100.0,0,440833817292.00604
