R,F_req,I_act,F_dist
0.020000,0.053573,0.535725,1.125024e-8
0.030000,0.156067,1.560673,3.277414e-8
0.040000,0.349412,3.494123,7.337657e-8
0.050000,0.663891,6.638908,1.394171e-7
0.060000,1.129786,11.297863,2.372551e-7
0.070000,1.777382,17.773822,3.732503e-7
0.080000,2.636962,26.369618,5.537620e-7
0.090000,3.738809,37.388086,7.851498e-7
0.100000,5.113206,51.132059,1.073773e-6
