M_TA_uH,M_AB_uH,P_A_W
0.004999999999999999,0.0,0.007191678751372367
0.004999999999999999,0.09999999999999999,0.041014642409148774
0.004999999999999999,0.19999999999999998,0.14189964134132851
0.004999999999999999,0.3,0.30811382146981015
0.005333743642050129,0.0,0.00818374649069296
0.005333743642050129,0.09999999999999999,0.04200509370751408
0.005333743642050129,0.19999999999999998,0.14288526622983208
0.005333743642050129,0.3,0.30909147801703374
0.005689764247822059,0.0,0.009312659577875684
0.005689764247822059,0.09999999999999999,0.043132167389094915
0.005689764247822059,0.19999999999999998,0.14400684776806413
0.005689764247822059,0.3,0.3102039920962554
0.00606954877631701,0.0,0.010597292318683612
0.00606954877631701,0.09999999999999999,0.0444147070093005
0.00606954877631701,0.19999999999999998,0.14528313769622975
0.00606954877631701,0.3,0.3114699638618535
0.0064746834391588,0.0,0.012059121633027343
0.0064746834391588,0.09999999999999999,0.045874154498022776
0.0064746834391588,0.19999999999999998,0.1467354734701105
0.0064746834391588,0.3,0.31291055828405956
0.006906860325580131,0.0,0.013722585753845464
0.006906860325580131,0.09999999999999999,0.04753490827436122
0.006906860325580131,0.19999999999999998,0.148388134631598
0.006906860325580131,0.3,0.31454985863984286
0.0073678844696182634,0.0,0.015615492309513226
0.0073678844696182634,0.09999999999999999,0.049424730664500705
0.0073678844696182634,0.19999999999999998,0.1502687482423975
0.0073678844696182634,0.3,0.3164152686707549
0.007859681389037261,0.0,0.01776948257289631
0.007859681389037261,0.09999999999999999,0.051575211394835466
0.007859681389037261,0.19999999999999998,0.15240875012007107
0.007859681389037261,0.3,0.31853797009254603
0.00838430512746348,0.0,0.020220559587223914
0.00838430512746348,0.09999999999999999,0.05402229485798388
0.00838430512746348,0.19999999999999998,0.15484390953666002
0.00838430512746348,0.3,0.3209534430550325
0.008943946833323328,0.0,0.023009688931348336
0.008943946833323328,0.09999999999999999,0.056806879900029715
0.008943946833323328,0.19999999999999998,0.15761492608572608
0.008943946833323328,0.3,0.32370205818789555
0.009540943911414537,0.0,0.026183482081216604
0.009540943911414537,0.09999999999999999,0.05997550206964945
0.009540943911414537,0.19999999999999998,0.1607681086102017
0.009540943911414537,0.3,0.32682975004511333
0.010177789785332882,0.0,0.029794973679093808
0.010177789785332882,0.09999999999999999,0.06358110962231038
0.010177789785332882,0.19999999999999998,0.1643561474294307
0.010177789785332882,0.3,0.3303887830959096
0.010857144311528401,0.0,0.03390450555813498
0.010857144311528401,0.09999999999999999,0.06768394610630074
0.010857144311528401,0.19999999999999998,0.16843899262994455
0.010857144311528401,0.3,0.33443862292406484
0.011581844888487092,0.0,0.03858073211067657
0.011581844888487092,0.09999999999999999,0.07235255409531849
0.011581844888487092,0.19999999999999998,0.1730848529141071
0.011581844888487092,0.3,0.33904692701314737
0.01235491830743579,0.0,0.04390176356022773
0.01235491830743579,0.09999999999999999,0.07766491660078229
0.01235491830743579,0.19999999999999998,0.17837133145971062
0.01235491830743579,0.3,0.34429067143854736
0.013179593394066881,0.0,0.04995646592872791
0.013179593394066881,0.09999999999999999,0.08370975492502189
0.013179593394066881,0.19999999999999998,0.18438671746089527
0.013179593394066881,0.3,0.3502574319867804
0.014059314494082051,0.0,0.05684593901449214
0.014059314494082051,0.09999999999999999,0.09058800423631638
0.014059314494082051,0.19999999999999998,0.19123145452847143
0.014059314494082051,0.3,0.3570468407102742
0.014997755858878708,0.0,0.0646851965481601
0.014997755858878708,0.09999999999999999,0.09841449099407218
0.014997755858878708,0.19999999999999998,0.19901980996142488
0.014997755858878708,0.3,0.3647722417370369
0.01599883699146288,0.0,0.073605075913243
0.01599883699146288,0.09999999999999999,0.10731983956657169
0.01599883699146288,0.19999999999999998,0.20788177210016667
0.01599883699146288,0.3,0.37356257332804543
0.017066739016682347,0.0,0.08375440844754457
0.017066739016682347,0.09999999999999999,0.11745263900762931
0.017066739016682347,0.19999999999999998,0.2179652065787408
0.017066739016682347,0.3,0.3835645067533435
0.01820592214415171,0.0,0.09530248542857894
0.01820592214415171,0.09999999999999999,0.12898190503885013
0.01820592214415171,0.19999999999999998,0.22943830635420104
0.01820592214415171,0.3,0.39494487658687527
0.01942114429680577,0.0,0.10844185944042833
0.01942114429680577,0.09999999999999999,0.14209987687124837
0.01942114429680577,0.19999999999999998,0.24249237495675188
0.01942114429680577,0.3,0.407893441549651
0.020717480982885225,0.0,0.1233915259747869
0.020717480982885225,0.09999999999999999,0.15702519364718387
0.020717480982885225,0.19999999999999998,0.2573449875272375
0.020717480982885225,0.3,0.422626020113869
0.02210034649435175,0.0,0.14040053589135643
0.02210034649435175,0.09999999999999999,0.17400650104695548
0.02210034649435175,0.19999999999999998,0.2742435799449886
0.02210034649435175,0.3,0.43938805077250986
0.02357551652027071,0.0,0.15975209580997726
0.02357551652027071,0.09999999999999999,0.19332654504160618
0.02357551652027071,0.19999999999999998,0.2934695227563398
0.02357551652027071,0.3,0.45845863323683
0.025149152269608392,0.0,0.18176822068654203
0.025149152269608392,0.09999999999999999,0.2153068169420773
0.025149152269608392,0.19999999999999998,0.31534274374966387
0.025149152269608392,0.3,0.48015511390511934
0.026827826204194924,0.0,0.20681501079224585
0.026827826204194924,0.09999999999999999,0.2403128218502024
0.026827826204194924,0.19999999999999998,0.34022697094177323
0.026827826204194924,0.3,0.5048382868050889
0.02861854948933011,0.0,0.2353086341209608
0.02861854948933011,0.09999999999999999,0.26876005140895376
0.02861854948933011,0.19999999999999998,0.36853567649277896
0.02861854948933011,0.3,0.5329182898988722
0.030528801276682355,0.0,0.26772210493223597
0.030528801276682355,0.09999999999999999,0.30112075141766553
0.030528801276682355,0.19999999999999998,0.4007388116917054
0.030528801276682355,0.3,0.5648612861937207
0.03256655994178335,0.0,0.30459295972128
0.03256655994178335,0.09999999999999999,0.33793158544630264
0.03256655994178335,0.19999999999999998,0.43737043367724693
0.03256655994178335,0.3,0.6011970295470407
0.03474033640658635,0.0,0.34653194339135945
0.03474033640658635,0.09999999999999999,0.37980230705046863
0.03474033640658635,0.19999999999999998,0.4790373359764972
0.03474033640658635,0.3,0.6425274263916586
0.03705920968626252,0.0,0.39423283075165616
0.03705920968626252,0.09999999999999999,0.42742556551923877
0.03705920968626252,0.19999999999999998,0.5264288072234348
0.03705920968626252,0.3,0.6895362168011175
0.039532864808701135,0.0,0.4484835215877985
0.039532864808701135,0.09999999999999999,0.48158798319442697
0.039532864808701135,0.19999999999999998,0.5803276554727458
0.039532864808701135,0.3,0.742999911281397
0.042171633265087494,0.0,0.5101785612960009
0.042171633265087494,0.09999999999999999,0.543182656126004
0.042171633265087494,0.19999999999999998,0.6416226491980709
0.042171633265087494,0.3,0.8038001332620069
0.04498653616050603,0.0,0.5803332531830583
0.04498653616050603,0.09999999999999999,0.6132232439228905
0.04498653616050603,0.19999999999999998,0.7113225401079427
0.04498653616050603,0.3,0.8729375312202678
0.04798933024479156,0.0,0.6600995426331681
0.04798933024479156,0.09999999999999999,0.692859828741966
0.04798933024479156,0.19999999999999998,0.790571846951241
0.04798933024479156,0.3,0.9515474383364818
0.05119255701588031,0.0,0.750783866878637
0.05119255701588031,0.09999999999999999,0.7833967368823143
0.05119255701588031,0.19999999999999998,0.8806685929723755
0.05119255701588031,0.3,1.040917471006689
0.05460959510074818,0.0,0.8538671763109096
0.05460959510074818,0.09999999999999999,0.8863125286441254
0.05460959510074818,0.19999999999999998,0.9830842018479685
0.05460959510074818,0.3,1.1425072696764236
0.058254716132709515,0.0,0.9710273430643669
0.058254716132709515,0.09999999999999999,1.0032823719082482
0.058254716132709515,0.19999999999999998,1.0994857667347988
0.058254716132709515,0.3,1.2579705952586546
0.06214314435845502,0.0,1.1041641785537073
0.06214314435845502,0.09999999999999999,1.1362030208520457
0.06214314435845502,0.19999999999999998,1.231760913052014
0.06214314435845502,0.3,1.3891800004471677
0.06629112022378271,0.0,1.2554272818162715
0.06629112022378271,0.09999999999999999,1.2872206214141775
0.06629112022378271,0.19999999999999998,1.3820454758961678
0.06629112022378271,0.3,1.5382542956409617
0.07071596820359637,0.0,1.4272469323567007
0.07071596820359637,0.09999999999999999,1.45876155701401
0.07071596820359637,0.19999999999999998,1.5527542050209207
0.07071596820359637,0.3,1.7075890214589804
0.0754361691594704,0.0,1.6223682213869224
0.0754361691594704,0.09999999999999999,1.653566528301893
0.0754361691594704,0.19999999999999998,1.7466146908070197
0.0754361691594704,0.3,1.8998901206854604
0.08047143752698885,0.0,1.8438885796030333
0.08047143752698885,0.09999999999999999,1.874728025076966
0.08047143752698885,0.19999999999999998,1.9667046693420915
0.08047143752698885,0.3,2.1182109677288783
0.0858428036552422,0.0,2.095298802445681
0.0858428036552422,0.09999999999999999,2.1257312914744144
0.0858428036552422,0.19999999999999998,2.216492808172864
0.0858428036552422,0.3,2.3659928579073877
0.09157270164238132,0.0,2.380527588193341
0.09157270164238132,0.09999999999999999,2.410498800149891
0.09157270164238132,0.19999999999999998,2.499882989582972
0.09157270164238132,0.3,2.6471089752590125
0.09768506303408118,0.0,2.7039894815256025
0.09768506303408118,0.09999999999999999,2.7334381287794973
0.09768506303408118,0.19999999999999998,2.821261986744299
0.09768506303408118,0.3,2.9659117375589252
0.10420541677625933,0.0,3.0706359445882554
0.10420541677625933,0.09999999999999999,3.099492961993031
0.10420541677625933,0.19999999999999998,3.1855502590954696
0.10420541677625933,0.3,3.327283250219729
0.11116099583951165,0.0,3.4860090459412616
0.11116099583951165,0.09999999999999999,3.5141967107384655
0.11116099583951165,0.19999999999999998,3.5982553637657473
0.11116099583951165,0.3,3.73668837382617
0.1185808509605915,0.0,3.9562969492871813
0.1185808509605915,0.09999999999999999,3.983727933279197
0.1185808509605915,0.19999999999999998,4.065527174115809
0.1185808509605915,0.3,4.200229607687286
0.1264959719759898,0.0,4.488389979979047
0.1264959719759898,0.09999999999999999,4.5149663390032115
0.1264959719759898,0.19999999999999998,4.594213696058745
0.1264959719759898,0.3,4.724702595690287
0.13493941725437766,0.0,5.089935526664116
0.13493941725437766,0.09999999999999999,5.115547636682146
0.13493941725437766,0.19999999999999998,5.19191575656936
0.13493941725437766,0.3,5.317650549903298
0.1439464517684976,0.0,5.7693893743587745
0.1439464517684976,0.09999999999999999,5.793914829120345
0.1439464517684976,0.19999999999999998,5.867038183160799
0.1439464517684976,0.3,5.987415238453755
0.15355469438317995,0.0,6.5360602387070434
0.15355469438317995,0.09999999999999999,6.559362731250822
0.15355469438317995,0.19999999999999998,6.6288342731765955
0.15355469438317995,0.3,6.743181372446603
0.1638042749746477,0.0,7.400143254501676
0.1638042749746477,0.09999999999999999,7.422071474042814
0.1638042749746477,0.19999999999999998,7.48743934296699
0.1638042749746477,0.3,7.595010227662185
0.17473800203733203,0.0,8.372736943545329
0.17473800203733203,0.09999999999999999,8.39312353089457
0.17473800203733203,0.19999999999999998,8.453887928225557
0.17473800203733203,0.3,8.553857129362253
0.18640154147823249,0.0,9.465836734593857
0.18640154147823249,0.09999999999999999,9.484497353467606
0.18640154147823249,0.19999999999999998,9.540107764859108
0.18640154147823249,0.3,9.631565999529826
0.19884360734557363,0.0,10.692296433668742
0.19884360734557363,0.09999999999999999,10.709029032315593
0.19884360734557363,0.19999999999999998,10.75888201667858
0.19884360734557363,0.3,10.840832516850696
0.2121161652883536,0.0,12.065747173837384
0.2121161652883536,0.09999999999999999,12.080331531414238
0.2121161652883536,0.19999999999999998,12.123769358739956
0.2121161652883536,0.3,12.195125596807742
0.22627464959656207,0.0,13.600461375645672
0.22627464959656207,0.09999999999999999,13.612659050563412
0.22627464959656207,0.19999999999999998,13.648969538335084
0.22627464959656207,0.3,13.708554926178309
0.24137819472855732,0.0,15.311147244690034
0.24137819472855732,0.09999999999999999,15.320702067157425
0.24137819472855732,0.19999999999999998,15.349120039809605
0.24137819472855732,0.3,15.395670301439797
0.2574898822925967,0.0,17.21265752025499
0.2574898822925967,0.09999999999999999,17.219296797342253
0.2574898822925967,0.19999999999999998,17.239007671173017
0.2574898822925967,0.3,17.271176717858975
0.2746770045140748,0.0,19.31959486797409
0.2746770045140748,0.09999999999999999,19.323031494751618
0.2746770045140748,0.19999999999999998,19.333177566115246
0.2746770045140748,0.3,19.349547827660583
0.2930113452888648,0.0,21.64579590339159
0.2930113452888648,0.09999999999999999,21.645731595070398
0.2930113452888648,0.19999999999999998,21.645421673627347
0.2930113452888648,0.3,21.644519945509334
0.3125694799966082,0.0,24.203676906959842
0.3125694799966082,0.09999999999999999,24.19980678015468
0.3125694799966082,0.19999999999999998,24.188129848573226
0.3125694799966082,0.3,24.16844978078579
0.3334330953261656,0.0,27.003427554228875
0.3334330953261656,0.09999999999999999,26.995446284667
0.3334330953261656,0.19999999999999998,26.97148986411272
0.3334330953261656,0.3,26.931522215232793
0.35568933044900686,0.0,30.052045268941878
0.35568933044900686,0.09999999999999999,30.039655030786857
0.35568933044900686,0.19999999999999998,30.002528865847864
0.35568933044900686,0.3,29.940800538894166
0.3794311409654916,0.0,33.35221299652393
0.3794311409654916,0.09999999999999999,33.33513333631292
0.3794311409654916,0.19999999999999998,33.28399885783425
0.3794311409654916,0.3,33.19912148027787
0.4047576871441043,0.0,36.901038099524605
0.4047576871441043,0.09999999999999999,36.87901780624899
0.4047576871441043,0.19999999999999998,36.8131235581926
0.4047576871441043,0.3,36.703851921287324
0.43177474807515726,0.0,40.68869021589718
0.43177474807515726,0.09999999999999999,40.66152110943655
0.43177474807515726,0.19999999999999998,40.58024391076408
0.43177474807515726,0.3,40.44554390086528
0.4605951634687333,0.0,44.69700122987997
0.4605951634687333,0.09999999999999999,44.66453359711193
0.4605951634687333,0.19999999999999998,44.567424634674836
0.4605951634687333,0.3,44.406549342883224
0.49133930494208033,0.0,48.89811995810477
0.49133930494208033,0.09999999999999999,48.8602791196551
0.49133930494208033,0.19999999999999998,48.74711343330793
0.49133930494208033,0.3,48.55968491937386
0.5241355787648312,0.0,53.25334536861494
0.5241355787648312,0.09999999999999999,53.21014856887533
0.5241355787648312,0.19999999999999998,53.08097552363967
0.5241355787648312,0.3,52.86706828133306
0.5591209621618367,0.0,57.712291072187114
0.5591209621618367,0.09999999999999999,57.66386357347134
0.5591209621618367,0.19999999999999998,57.519054982617135
0.5591209621618367,0.3,57.279275616424876
0.5964415754135308,0.0,62.21255464311525
0.5964415754135308,0.09999999999999999,62.1591436099155
0.5964415754135308,0.19999999999999998,61.9994352912105
0.5964415754135308,0.3,61.73499145517759
0.636253292143258,0.0,66.68007082589486
0.636253292143258,0.09999999999999999,66.6220553612349
0.636253292143258,0.19999999999999998,66.44857723750697
0.636253292143258,0.3,66.1613277712424
0.6787223903405133,0.0,71.0303102141541
0.6787223903405133,0.09999999999999999,70.96820582273166
0.6787223903405133,0.19999999999999998,70.78249541330509
0.6787223903405133,0.3,70.4749731604951
0.7240262468391573,0.0,75.17043812838597
0.7240262468391573,0.09999999999999999,75.10489399800889
0.7240262468391573,0.19999999999999998,74.9088884909426
0.7240262468391573,0.3,74.58428783484047
0.7723540781511562,0.0,79.00246921403836
0.7723540781511562,0.09999999999999999,78.93425708116959
0.7723540781511562,0.19999999999999998,78.73026028742665
0.7723540781511562,0.3,78.39238325120616
0.8239077307500438,0.0,82.42734460021678
0.8239077307500438,0.09999999999999999,82.35733861696386
0.8239077307500438,0.19999999999999998,82.14796104649582
0.8239077307500438,0.3,81.80111898607305
0.878902524104801,0.0,85.3497307215909
0.878902524104801,0.09999999999999999,85.27887863750762
0.878902524104801,0.19999999999999998,85.06695160761672
0.878902524104801,0.3,84.71582391669449
0.9375681499851606,0.0,87.68321025305114
0.9375681499851606,0.09999999999999999,87.61249726979658
0.9375681499851606,0.19999999999999998,87.40096507350614
0.9375681499851606,0.3,87.05042146109037
1.0001496317944105,0.0,89.35542975745807
1.0001496317944105,0.09999999999999999,89.28583745303018
1.0001496317944105,0.19999999999999998,89.07763471930856
1.0001496317944105,0.3,88.73253275391703
1.0669083479364454,0.0,90.3127102890557
1.0669083479364454,0.09999999999999999,90.2451738514091
1.0669083479364454,0.19999999999999998,90.04309775464887
1.0669083479364454,0.3,89.70807156596393
