a,b,integral_value
0.5,0.0,1.2533141373155001
0.5,0.10344827586206896,1.246625847724505
0.5,0.20689655172413793,1.2267743697524747
0.5,0.3103448275862069,1.1943885689266303
0.5,0.41379310344827586,1.1504797006659235
0.5,0.5172413793103449,1.0963889757126384
0.5,0.6206896551724138,1.0337195681607383
0.5,0.7241379310344828,0.9642578711634869
0.5,0.8275862068965517,0.8898893834151346
0.5,0.9310344827586207,0.8125147172546737
0.5,1.0344827586206897,0.7339708711058373
0.5,1.1379310344827587,0.6559621650206215
0.5,1.2413793103448276,0.5800041945811413
0.5,1.3448275862068966,0.5073829344715769
0.5,1.4482758620689655,0.43912984564599045
0.5,1.5517241379310345,0.37601262934448876
0.5,1.6551724137931034,0.3185402281105208
0.5,1.7586206896551724,0.2669798711441794
0.5,1.8620689655172413,0.22138343883253153
0.5,1.9655172413793103,0.1816201863940709
0.5,2.0689655172413794,0.1474128974900622
0.5,2.1724137931034484,0.11837479117337484
0.5,2.2758620689655173,0.09404492119277702
0.5,2.3793103448275863,0.07392032124161693
0.5,2.4827586206896552,0.05748370103284338
0.5,2.586206896551724,0.044226032033160244
0.5,2.689655172413793,0.033663836435958605
0.5,2.793103448275862,0.025351380730532502
0.5,2.896551724137931,0.018888262290797014
0.5,3.0,0.013923062412768033
1.0,0.0,0.8862269254527579
1.0,0.10344827586206896,0.8838590947928414
1.0,0.20689655172413793,0.8767934936195322
1.0,0.3103448275862069,0.8651427855804423
1.0,0.41379310344827586,0.8490914183817625
1.0,0.5172413793103449,0.8288907658001476
1.0,0.6206896551724138,0.8048525792949686
1.0,0.7241379310344828,0.7773409875810443
1.0,0.8275862068965517,0.7467633309426628
1.0,0.9310344827586207,0.7135601523039907
1.0,1.0344827586206897,0.6781946878053228
1.0,1.1379310344827587,0.6411422053508988
1.0,1.2413793103448276,0.6028795305742412
1.0,1.3448275862068966,0.5638750769478339
1.0,1.4482758620689655,0.5245796620463347
1.0,1.5517241379310345,0.48541834749348983
1.0,1.6551724137931034,0.4467834885012091
1.0,1.7586206896551724,0.40902912297516825
1.0,1.8620689655172413,0.3724667727840519
1.0,1.9655172413793103,0.33736267371299783
1.0,2.0689655172413794,0.30393639831956254
1.0,2.1724137931034484,0.27236078946808845
1.0,2.2758620689655173,0.2427630833483847
1.0,2.3793103448275863,0.21522707037803326
1.0,2.4827586206896552,0.18979612110061708
1.0,2.586206896551724,0.16647689206692906
1.0,2.689655172413793,0.14524352330046178
1.0,2.793103448275862,0.12604214348789086
1.0,2.896551724137931,0.10879551038158504
1.0,3.0,0.09340763072856584
2.0,0.0,0.6266570686577501
2.0,0.10344827586206896,0.6258193541716801
2.0,0.20689655172413793,0.6233129238622525
2.0,0.3103448275862069,0.6191578275943017
2.0,0.41379310344827586,0.6133871848762373
2.0,0.5172413793103449,0.6060467452726922
2.0,0.6206896551724138,0.5971942844633151
2.0,0.7241379310344828,0.5868988470990377
2.0,0.8275862068965517,0.5752398503329618
2.0,0.9310344827586207,0.5623060643021589
2.0,1.0344827586206897,0.5481944878563192
2.0,1.1379310344827587,0.5330091394273309
2.0,1.2413793103448276,0.5168597840803691
2.0,1.3448275862068966,0.49986061846424557
2.0,1.4482758620689655,0.48212893558174347
2.0,1.5517241379310345,0.4637837910371135
2.0,1.6551724137931034,0.4449446917075673
2.0,1.7586206896551724,0.425730326659331
2.0,1.8620689655172413,0.40625735862733686
2.0,1.9655172413793103,0.3866392925500408
2.0,2.0689655172413794,0.3669854355529186
2.0,2.1724137931034484,0.34739996046645566
2.0,2.2758620689655173,0.3279810825103108
2.0,2.3793103448275863,0.308820356239132
2.0,2.4827586206896552,0.29000209729057064
2.0,2.586206896551724,0.2716029309630192
2.0,2.689655172413793,0.25369146723578845
2.0,2.793103448275862,0.23632809957847678
2.0,2.896551724137931,0.21956492282299522
2.0,3.0,0.20344576352728933
4.0,0.0,0.44311346272637897
4.0,0.10344827586206896,0.44281718688106003
4.0,0.20689655172413793,0.4419295473964207
4.0,0.3103448275862069,0.44045410048990674
4.0,0.41379310344827586,0.4383967468097661
4.0,0.5172413793103449,0.43576569212258753
4.0,0.6206896551724138,0.43257139279022117
4.0,0.7241379310344828,0.42882648654303995
4.0,0.8275862068965517,0.42454570919088125
4.0,0.9310344827586207,0.41974579803975837
