year,n_logistic,v_python_logistic,v_maxima_logistic,diff_logistic
0.0,16.275936521909152,0.99,0.99,0.0
0.3003003003003003,16.39738408381575,0.9416120806105404,0.99,-0.04838791938945963
0.6006006006006006,16.51977968419512,0.8952457894882223,0.99,-0.09475421051177768
0.9009009009009009,16.643130444311485,0.8508335876697576,0.99,-0.1391664123302424
1.2012012012012012,16.76744353446424,0.8083094603845045,0.99,-0.18169053961549553
1.5015015015015014,16.892726174253603,0.7676089101281368,0.99,-0.22239108987186318
1.8018018018018018,17.01898563284658,0.7286689487836567,0.99,-0.26133105121634326
2.1021021021021022,17.14622922924304,0.691428088812334,0.99,-0.298571911187666
2.4024024024024024,17.27446433254207,0.6558263335381187,0.99,-0.3341736664618813
2.7027027027027026,17.403698362208335,0.6218051665499924,0.99,-0.3681948334500076
3.003003003003003,17.533938788338652,0.5893075402475937,0.99,-0.4006924597524063
3.3033033033033035,17.66519313192864,0.5582778635562792,0.99,-0.4317221364437208
3.6036036036036037,17.797468965139423,0.528661988838555,0.99,-0.461338011161445
3.903903903903904,17.930773911564344,0.5004071980295368,0.99,-0.4895928019704632
4.2042042042042045,18.065115646495716,0.4734621880247709,0.99,-0.5165378119752291
4.504504504504505,18.200501897191522,0.44777705534936435,0.99,-0.5422229446506357
4.804804804804805,18.336940443142154,0.4233032801379381,0.99,-0.5666967198620618
5.105105105105105,18.474439116336878,0.39999370945542734,0.99,-0.5900062905445727
5.405405405405405,18.613005801530353,0.377802539989205,0.99,-0.612197460010795
5.7057057057057055,18.752648436508945,0.35668530014340327,0.99,-0.6333146998565967
6.006006006006006,18.893375012356906,0.3365988315666468,0.99,-0.6534011684333532
6.306306306306307,19.035193573722186,0.3175012701446953,0.99,-0.6724987298553047
6.606606606606607,19.178112219082205,0.29935202648971954,0.99,-0.6906479735102804
6.906906906906907,19.322139101009192,0.2821117659580994,0.99,-0.7078882340419006
7.207207207207207,19.467282426435307,0.2657423882287488,0.99,-0.7242576117712511
7.5075075075075075,19.613550456917316,0.25020700647402067,0.99,-0.7397929935259793
7.807807807807808,19.76095150890096,0.23546992615524456,0.99,-0.7545300738447555
8.108108108108109,19.909493953984843,0.22149662347488933,0.99,-0.7685033765251107
8.408408408408409,20.059186219183946,0.20825372351722757,0.99,-0.7817462764827724
8.70870870870871,20.210036787192458,0.195708978109208,0.99,-0.7942910218907919
9.00900900900901,20.362054196646273,0.18383124343301901,0.99,-0.806168756566981
9.30930930930931,20.51524704238477,0.17259045742154752,0.99,-0.8174095425784524
9.60960960960961,20.6696239757121,0.16195761696760988,0.99,-0.8280423830323901
9.90990990990991,20.825193704657583,0.151904754977451,0.99,-0.838095245022549
10.21021021021021,20.981964994235653,0.14240491729858024,0.99,-0.8475950827014198
10.51051051051051,21.13994666670492,0.13343213955153568,0.99,-0.8565678604484643
10.81081081081081,21.299147601826473,0.12496142389464743,0.99,-0.8650385761053525
11.11111111111111,21.459576737121324,0.11696871575030358,0.99,-0.8730312842496964
11.411411411411411,21.62124306812701,0.10943088052061538,0.99,-0.8805691194793847
11.711711711711711,21.78415564865323,0.10232568031972833,0.99,-0.8876743196802717
12.012012012012011,21.948323591036566,0.09563175074934006,0.99,-0.8943682492506599
12.312312312312313,22.1137560663941,0.08932857774326235,0.99,-0.9006714222567377
12.612612612612613,22.280462304876032,0.08339647450610792,0.99,-0.9066035254938921
12.912912912912914,22.448451595917142,0.07781655857039353,0.99,-0.9121834414296065
13.213213213213214,22.61773328848715,0.07257072899553368,0.99,-0.9174292710044663
13.513513513513514,22.78831679133972,0.06764164373135333,0.99,-0.9223583562686467
13.813813813813814,22.96021157326034,0.0630126971678788,0.99,-0.9269873028321212
