threshold,t_exponential,t_logistic,difference
0.8,18.01801801801802,1.5015015015015014,-16.516516516516518
0.5,44.14414414414414,4.2042042042042045,-39.93993993993994
0.3,63.06306306306306,6.606606606606607,-56.45645645645646
0.1,89.1891891891892,12.012012012012011,-77.17717717717719
