year,v_exponential,v_logistic,diff_exp_log
0.0,0.99,0.99,0.0
1.0033444816053512,0.9800359194661505,0.8363270291978652,0.14370889026828537
2.0066889632107023,0.9699874528470568,0.703260469070781,0.2667269837762758
3.0100334448160533,0.9598556119522681,0.5885810929671951,0.371274518985073
4.013377926421405,0.9496395157373111,0.49058443518499006,0.459055080552321
5.016722408026756,0.9393428976961818,0.40685405132854086,0.5324888463676409
6.020066889632107,0.9289668515879926,0.33570463136628786,0.5932622202217048
7.023411371237458,0.9185111925987557,0.27576110436410384,0.6427500882346519
8.02675585284281,0.9079796141395267,0.225282033231106,0.6826975809084207
9.03010033444816,0.8973733275494108,0.18304175679007287,0.714331570759338
10.033444816053512,0.8866928345342392,0.14799679499584195,0.7386960395383972
11.036789297658864,0.8759417988777125,0.11894684418736524,0.7569949546903473
12.040133779264213,0.8651215886223776,0.09504148705646323,0.7700801015659144
13.043478260869565,0.8542333713166437,0.07553576310306319,0.7786976082135805
14.046822742474916,0.8432807936420608,0.059641559268413157,0.7836392343736476
15.050167224080267,0.8322654227132734,0.04679821803020745,0.785467204683066
16.05351170568562,0.8211890591548907,0.03650606066878756,0.7846829984861031
17.05685618729097,0.8100553470652836,0.028274268310217163,0.7817810787550664
18.06020066889632,0.7988660978717882,0.021753169585651013,0.7771129282861372
19.06354515050167,0.7876236993782877,0.016628643045367583,0.7709950563329201
20.066889632107024,0.7763318094658176,0.01261211495590405,0.7637196945099135
21.070234113712374,0.764992531473653,0.009498253015753532,0.7554942784578994
22.073578595317727,0.7536087804424036,0.007102593970912901,0.7465061864714907
23.076923076923077,0.7421842460215009,0.005265772399186965,0.7369184736223139
24.080267558528426,0.7307213727539504,0.003874846172360837,0.7268465265815895
25.08361204013378,0.7192235281914665,0.002829040754037275,0.7163944874374293
26.08695652173913,0.7076944530425017,0.0020461418391650482,0.7056483112033366
27.090301003344482,0.6961369832092029,0.0014682819944342976,0.6946687012147686
28.093645484949832,0.6845548487426834,0.0010444886989438346,0.6835103600437396
29.096989966555185,0.6729518615968457,0.0007353771735436544,0.6722164844233021
30.100334448160535,0.6613312990542504,0.0005134961384993317,0.660817802915751
31.103678929765888,0.6496971481604892,0.00035510541685916094,0.64934204274363
32.10702341137124,0.6380533126904387,0.00024279789307429263,0.6378105147973645
33.11036789297659,0.6264035600269512,0.0001645955864433893,0.6262389644405078
34.11371237458194,0.6147520133652307,0.00011038004352710046,0.6146416333217035
35.11705685618729,0.603102688661338,7.310289753240554e-05,0.6030295857638056
36.12040133779264,0.5914598894862497,4.7991172308252324e-05,0.5914118983139415
37.123745819397996,0.5798277395791773,3.1125289390652905e-05,0.5797966142897867
38.12709030100334,0.568210386524395,1.991052146080467e-05,0.5681904760029343
39.130434782608695,0.5566127120570784,1.2623427718638217e-05,0.5566000886293597
40.13377926421405,0.5450386911630737,7.894545611815884e-06,0.5450307966174619
41.137123745819395,0.5334926208068228,4.862642354766563e-06,0.533487758164468
42.14046822742475,0.5219799971472743,2.968579570321281e-06,0.521977028567704
43.1438127090301,0.510504485045101,1.7844058619787167e-06,0.5105027006392391
44.147157190635454,0.4990705880360182,1.054966494637598e-06,0.49906953306952356
45.1505016722408,0.4876843195970419,6.18012403119063e-07,0.48768370158463875
46.15384615384615,0.4763489891863217,3.5579562919317224e-07,0.4763486333906925
47.15719063545151,0.46506937510408297,2.0124371328615977e-07,0.46506917386036967
48.16053511705685,0.4538517326032003,1.1267982455342883e-07,0.45385161992337575
49.163879598662206,0.4426991327371265,6.189029401384043e-08,0.4426990708468325
50.16722408026756,0.4316165976519568,3.3361190425673176e-08,0.4316165642907664
51.17056856187291,0.42061045294337873,1.7781924261052413e-08,0.42061043516145447
52.17391304347826,0.40968352976096384,9.278475813993614e-09,0.409683520482488
53.17725752508361,0.3988410958148638,4.7463683035917215e-09,0.3988410910684955
