Day,Algae_kg,Plants_kg,O2_kg
0.0,10.0,5.0,100.0
1.0,10.0,5.125,100.0914
2.0,10.0,5.237109375,100.16990937499999
3.0,10.0,5.336992916107178,100.23619291610717
4.0,10.0,5.4254545188588,100.29105451885879
5.0,10.0,5.503383778282485,100.33538377828248
6.0,10.0,5.5717105197482875,100.37011051974828
7.0,10.0,5.631368144813687,100.39616814481369
8.0,10.0,5.683265686975182,100.41446568697518
9.0,10.0,5.728267818302722,100.42586781830272
10.0,10.0,5.767181686093065,100.43118168609307
11.0,10.0,5.800749323996843,100.43114932399685
12.0,10.0,5.829644404600124,100.42644440460013
13.0,10.0,5.854472218188004,100.41767221818802
14.0,10.0,5.8757719270778255,100.40537192707784
15.0,10.0,5.894020322663603,100.39002032266362
16.0,10.0,5.9096364819638545,100.37203648196387
17.0,10.0,5.92298687053448,100.3517868705345
18.0,10.0,5.934390564401556,100.32959056440157
19.0,10.0,5.944124364790334,100.30572436479035
20.0,10.0,5.952427657906532,100.28042765790654
21.0,10.0,5.959506931027246,100.25390693102726
22.0,10.0,5.965539899157288,100.2263398991573
23.0,10.0,5.970679226819943,100.19787922681995
24.0,10.0,5.9750558501034545,100.16865585010346
25.0,10.0,5.978781917322585,100.13878191732259
26.0,10.0,5.981953374548384,100.10835337454839
27.0,10.0,5.984652226348872,100.07745222634887
28.0,10.0,5.9869485035426395,100.04614850354264
29.0,10.0,5.988901969472249,100.01450196947225
30.0,10.0,5.990563594894372,99.98256359489437
31.0,10.0,5.991976829516683,99.95037682951669
32.0,10.0,5.993178695807566,99.91797869580756
33.0,10.0,5.994200728181658,99.88540072818165
34.0,10.0,5.995069778165569,99.85266977816556
35.0,10.0,5.995808703763551,99.81980870376354
36.0,10.0,5.996436959024915,99.78683695902491
37.0,10.0,5.996971097789653,99.75377109778965
38.0,10.0,5.99742520376499,99.720625203765
39.0,10.0,5.99781125746085,99.68741125746085
40.0,10.0,5.998139449076875,99.65413944907688
41.0,10.0,5.9984184451741,99.62081844517411
42.0,10.0,5.998655615865093,99.5874556158651
43.0,10.0,5.9988572283011115,99.55405722830112
44.0,10.0,5.999028611407766,99.52062861140777
45.0,10.0,5.999174296106706,99.48717429610672
46.0,10.0,5.999298134646027,99.45369813464603
47.0,10.0,5.999403402133749,99.42020340213375
48.0,10.0,5.999492882915461,99.38669288291547
49.0,10.0,5.999568944048948,99.35316894404896
50.0,10.0,5.999633597796375,99.31963359779638
51.0,10.0,5.999688554770654,99.28608855477066
52.0,10.0,5.9997352691301025,99.2525352691301
53.0,10.0,5.999774977008526,99.21897497700853
54.0,10.0,5.999808729191363,99.18540872919137
55.0,10.0,5.9998374188980454,99.15183741889805
56.0,10.0,5.9998618054025235,99.11826180540253
57.0,10.0,5.999882534114701,99.0846825341147
58.0,10.0,5.99990015365254,99.05110015365254
59.0,10.0,5.999915130355427,99.01751513035543
60.0,10.0,5.999927860622041,98.98392786062205
61.0,10.0,5.999938681398632,98.95033868139863
62.0,10.0,5.9999478790948375,98.91674787909484
63.0,10.0,5.999955697162697,98.8831556971627
64.0,10.0,5.999962342539225,98.84956234253923
65.0,10.0,5.9999679911228885,98.81596799112289
66.0,10.0,5.999972792428841,98.78237279242884
67.0,10.0,5.999976873546009,98.748776873546
68.0,10.0,5.999980342500737,98.71518034250073
69.0,10.0,5.999983291115966,98.68158329111596
70.0,10.0,5.9999857974415916,98.64798579744158
71.0,10.0,5.99998792782031,98.6143879278203
72.0,10.0,5.99998973864362,98.58078973864362
73.0,10.0,5.999991277844445,98.54719127784445
74.0,10.0,5.9999925861658765,98.51359258616588
75.0,10.0,5.999993698239621,98.47999369823962
76.0,10.0,5.999994643502685,98.44639464350269
77.0,10.0,5.999995446976565,98.41279544697656
78.0,10.0,5.9999961299295625,98.37919612992955
79.0,10.0,5.999996710439754,98.34559671043975
80.0,10.0,5.99999720387352,98.31199720387352
81.0,10.0,5.9999976232922965,98.27839762329229
82.0,10.0,5.9999979797983105,98.2447979797983
83.0,10.0,5.999998282828462,98.21119828282846
84.0,10.0,5.9999985404041185,98.17759854040412
85.0,10.0,5.999998759343447,98.14399875934345
86.0,10.0,5.999998945441892,98.11039894544189
87.0,10.0,5.99999910362558,98.07679910362558
88.0,10.0,5.999999238081723,98.04319923808171
89.0,10.0,5.99999935236945,98.00959935236943
90.0,10.0,5.999999449514022,97.975999449514
91.0,10.0,5.999999532086911,97.9423995320869
92.0,10.0,5.999999602273869,97.90879960227386
93.0,10.0,5.999999661932785,97.87519966193277
94.0,10.0,5.999999712642865,97.84159971264285
95.0,10.0,5.999999755746433,97.80799975574641
96.0,10.0,5.999999792384466,97.77439979238444
97.0,10.0,5.999999823526795,97.74079982352677
98.0,10.0,5.999999849997775,97.70719984999775
99.0,10.0,5.999999872498108,97.67359987249809
100.0,10.0,5.999999891623392,97.63999989162338
101.0,10.0,5.999999907879883,97.60639990787986
