Generation,Time_years,Factories
0,0.0,1
1,279.0,2
2,558.0,4
3,837.0,8
4,1116.0,16
5,1395.0,32
6,1674.0,64
7,1953.0,128
8,2232.0,256
9,2511.0,512
10,2790.0,1024
