項目,値
総拠点数,865
建設期間_年,300
鋼材必要量_Gkg,0.43
コンクリート必要量_Mm3,8.65
断熱材必要量_Mm3,0.86
溶融塩必要量_Mm3,290193.55
材料費_BUSD,2611745.91
建設費_BUSD,5223491.83
総コスト_BUSD,7835237.74
1拠点あたりコスト_MUSD,9058078.32
