parameter,value,unit
各拠点発熱量,6.50 TW,TW
溶融塩入口温度,627 °C,°C
溶融塩出口温度,427 °C,°C
質量流量_拠点,20967741.9 kg/s,kg/s
体積流量_拠点,11648.746 m³/s,m³/s
パイプ直径,86.115 m,m
設計流速,2.0 m/s,m/s
熱交換器伝熱面積,70358179.8 m²,m²
冷却水流量,31055.901 m³/s,m³/s
熱貯蔵容量,187200.0 TJ,TJ
熱貯蔵時間,8 時間,時間
平均熱損失率,0.21 %,%
