項目,値
総拠点数,865
鋼材必要量,0.43 Gkg
コンクリート必要量,8.65 Mm³
断熱材必要量,0.86 Mm³
溶融塩必要量,290193.55 Mm³
材料費,$2611745.91B
建設費,$5223491.83B
総コスト,$7835237.74B
1拠点あたりコスト,$9058078.32M
