StarType,Distribution,N_stars,HZ_inner_AU,HZ_outer_AU,HZ_stars,Expected_N
M,0.750,3.,0.0349,0.0503,0.6,0.000290
K,0.120,0.,0.2577,0.3716,0.1,0.000046
G,0.080,0.,0.9500,1.3700,0.1,0.000031
F,0.030,0.,2.0824,3.0030,0.0,0.000012
A,0.020,0.,5.7590,8.3051,0.0,0.000008
