StarType,Mass[Msun],Temp[K],Lum[Lsun],HZ_inner[AU],HZ_outer[AU],Width[AU],N_expected
M,0.3,3500.,0.01,0.0349,0.0503,0.0154,1.00E+7
K,0.7,4500.,0.20,0.2577,0.3716,0.1139,1.00E+7
G,1.0,5778.,1.00,0.9500,1.3700,0.4200,1.00E+7
F,1.3,6500.,3.00,2.0824,3.0030,0.9206,1.00E+7
A,1.8,8000.,10.00,5.7590,8.3051,2.5461,1.00E+7
