シナリオ,導入基数,総発電容量_MWe,石油代替_kL_日,CO2削減_t_日,総投資額_億円,目標年,説明
保守的,30,600.0,51.599999999999994,300.0,1500,2030,慎重導入
標準,100,2000.0,172.0,1000.0,5000,2030,計画的導入
積極的,300,6000.0,516.0,3000.0,15000,2030,加速導入
